date,close,volume,inst_net_buy,foreign_net_buy,foreign_net_buy_norm,inst_net_buy_norm,foreign_ratio_feat,short_proxy_score,source,foreign_ratio
2016-06-09,172000.0,160315.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,
2016-06-10,171500.0,120867.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,
2016-06-13,170000.0,73904.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,
2016-06-14,168500.0,85189.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,
2016-06-15,167000.0,65101.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,
2016-06-16,165000.0,91288.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,
2016-06-17,168000.0,60463.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,
2016-06-20,166500.0,36306.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,
2016-06-21,169000.0,66269.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,
2016-06-22,164000.0,77995.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,
2016-06-23,160500.0,130656.0,0.0,0.0,-0.0,0.0,-0.05525,0.0,ohlcv_proxy,
2016-06-24,150000.0,244800.0,0.0,0.0,-0.0,-0.1,-0.081357,0.1,ohlcv_proxy,
2016-06-27,151500.0,101584.0,0.0,0.0,-0.0,-0.1,-0.086075,0.1,ohlcv_proxy,
2016-06-28,150000.0,110291.0,0.0,0.0,-0.0,-0.1,-0.094236,0.1,ohlcv_proxy,
2016-06-29,151500.0,182695.0,0.0,0.0,-0.0,0.0,-0.082689,0.1,ohlcv_proxy,
2016-06-30,159000.0,186350.0,0.0,0.0,-0.0,0.1,-0.074217,0.1,ohlcv_proxy,
2016-07-01,165000.0,135769.0,0.0,0.0,0.0,0.1,-0.051827,0.1,ohlcv_proxy,
2016-07-04,164500.0,116519.0,0.0,0.0,0.0,0.1,-0.032833,0.1,ohlcv_proxy,
2016-07-05,161500.0,75164.0,0.0,0.0,-0.0,0.1,-0.016685,0.1,ohlcv_proxy,
2016-07-06,164000.0,99862.0,0.0,0.0,0.0,0.1,0.007229,0.1,ohlcv_proxy,
2016-07-07,166500.0,97309.0,0.0,0.0,0.0,0.1,0.023074,0.1,ohlcv_proxy,
2016-07-08,165500.0,68511.0,0.0,0.0,0.0,0.2,0.026009,0.0,ohlcv_proxy,
2016-07-11,165000.0,66956.0,0.0,0.0,0.0,0.2,0.027729,0.0,ohlcv_proxy,
2016-07-12,166500.0,55695.0,0.0,0.0,0.0,0.2,0.034283,0.0,ohlcv_proxy,
2016-07-13,170500.0,105853.0,0.0,0.0,0.0,0.1,0.043024,0.0,ohlcv_proxy,
2016-07-14,170000.0,58870.0,0.0,0.0,0.0,0.0,0.04663,0.0,ohlcv_proxy,
2016-07-15,173000.0,75359.0,0.0,0.0,0.0,0.0,0.054535,0.0,ohlcv_proxy,
2016-07-18,177000.0,133446.0,0.0,0.0,0.0,0.0,0.067607,0.0,ohlcv_proxy,
2016-07-19,177500.0,82284.0,0.0,0.0,0.0,0.0,0.075308,0.0,ohlcv_proxy,
2016-07-20,175000.0,108090.0,0.0,0.0,0.0,0.0,0.078027,0.0,ohlcv_proxy,
2016-07-21,179000.0,70728.0,0.0,0.0,0.0,0.0,0.081232,0.0,ohlcv_proxy,
2016-07-22,176500.0,65916.0,0.0,0.0,0.0,0.0,0.071296,0.0,ohlcv_proxy,
2016-07-25,176500.0,46346.0,0.0,0.0,0.0,0.0,0.064378,0.0,ohlcv_proxy,
2016-07-26,173500.0,55522.0,0.0,0.0,0.0,0.0,0.052836,0.0,ohlcv_proxy,
2016-07-27,171000.0,45494.0,0.0,0.0,0.0,0.0,0.039588,0.0,ohlcv_proxy,
