date,close,volume,inst_net_buy,foreign_net_buy,foreign_net_buy_norm,inst_net_buy_norm,foreign_ratio_feat,short_proxy_score,source
2020-10-16,9365.0,342405,0,0,-0.0,0.0,,0.0,ohlcv_proxy
2020-10-19,9375.0,258926,0,0,-0.0,0.0,,0.0,ohlcv_proxy
2020-10-20,9403.0,218567,0,0,-0.0,0.0,,0.0,ohlcv_proxy
2020-10-21,9458.0,128236,0,0,0.0,0.0,,0.0,ohlcv_proxy
2020-10-22,9393.0,169974,0,0,-0.0,0.0,,0.0,ohlcv_proxy
2020-10-23,9448.0,133136,0,0,0.0,0.0,,0.0,ohlcv_proxy
2020-10-26,9365.0,1483,0,0,-0.0,0.0,,0.0,ohlcv_proxy
2020-10-27,9320.0,135418,0,0,-0.0,0.0,,0.0,ohlcv_proxy
2020-10-28,9324.0,3336,0,0,-0.0,0.0,,0.0,ohlcv_proxy
2020-10-29,9277.0,38058,0,0,-0.0,0.0,,0.0,ohlcv_proxy
2020-10-30,9049.0,3776,0,0,-0.0,0.0,-0.012656,0.0,ohlcv_proxy
2020-11-02,9152.0,41347,0,0,-0.0,0.0,-0.018173,0.0,ohlcv_proxy
2020-11-03,9296.0,6594,0,0,-0.0,0.0,-0.025164,0.0,ohlcv_proxy
2020-11-04,9356.0,44318,0,0,0.0,0.0,-0.020349,0.0,ohlcv_proxy
2020-11-05,9573.0,1623,0,0,0.0,0.0,-0.019947,0.0,ohlcv_proxy
2020-11-06,9578.0,42971,0,0,0.0,0.0,-0.008867,0.0,ohlcv_proxy
2020-11-09,9677.0,99819,0,0,0.0,0.0,0.012586,0.0,ohlcv_proxy
2020-11-10,9704.0,106678,0,0,0.0,0.0,0.020758,0.0,ohlcv_proxy
2020-11-11,9872.0,128377,0,0,0.0,0.0,0.030685,0.0,ohlcv_proxy
2020-11-12,9839.0,187473,0,0,0.0,-0.1,0.030431,0.0,ohlcv_proxy
2020-11-13,9909.0,141708,0,0,0.0,-0.1,0.029037,0.0,ohlcv_proxy
2020-11-16,10109.0,184235,0,0,1e-06,0.0,0.029808,0.0,ohlcv_proxy
2020-11-17,10084.0,163837,0,0,1e-06,-0.1,0.028871,0.0,ohlcv_proxy
2020-11-18,10094.0,167086,0,0,0.0,0.0,0.027222,0.0,ohlcv_proxy
2020-11-19,10089.0,154029,0,0,0.0,-0.1,0.026157,0.0,ohlcv_proxy
2020-11-20,10109.0,177483,0,0,0.0,0.0,0.023982,0.0,ohlcv_proxy
2020-11-23,10271.0,152189,0,0,1e-06,0.1,0.023697,0.0,ohlcv_proxy
2020-11-24,10364.0,150442,0,0,1e-06,0.2,0.021403,0.0,ohlcv_proxy
2020-11-25,10290.0,144721,0,0,0.0,0.2,0.022961,0.0,ohlcv_proxy
2020-11-26,10355.0,144296,0,0,0.0,0.3,0.024474,0.0,ohlcv_proxy
2020-11-27,10415.0,142599,0,0,0.0,0.3,0.02862,0.0,ohlcv_proxy
2020-11-30,10243.0,119527,0,0,0.0,0.2,0.025961,0.0,ohlcv_proxy
2020-12-01,10401.0,133643,0,0,0.0,0.3,0.024697,0.0,ohlcv_proxy
2020-12-02,10545.0,218638,0,0,0.0,0.3,0.026626,0.0,ohlcv_proxy
2020-12-03,10615.0,175352,0,0,0.0,0.4,0.029197,0.0,ohlcv_proxy
2020-12-04,10770.0,250977,0,0,1e-06,0.4,0.032648,0.0,ohlcv_proxy
2020-12-07,10852.0,23615,0,0,1e-06,0.3,0.035808,0.0,ohlcv_proxy
2020-12-08,10708.0,32577,0,0,0.0,0.2,0.037748,0.0,ohlcv_proxy
2020-12-09,10871.0,37097,0,0,0.0,0.2,0.041383,0.0,ohlcv_proxy
2020-12-10,10866.0,35428,0,0,0.0,0.2,0.043667,0.0,ohlcv_proxy
2020-12-11,10991.0,20605,0,0,1e-06,0.2,0.046538,0.0,ohlcv_proxy
2020-12-14,10963.0,6744,0,0,0.0,0.2,0.044923,0.0,ohlcv_proxy
2020-12-15,10917.0,29631,0,0,0.0,0.2,0.047005,0.0,ohlcv_proxy
2020-12-16,10996.0,8854,0,0,0.0,0.1,0.046207,0.0,ohlcv_proxy
2020-12-17,10996.0,28228,0,0,0.0,0.1,0.046918,0.0,ohlcv_proxy
2020-12-18,10996.0,29698,0,0,0.0,0.0,0.042995,0.0,ohlcv_proxy
2020-12-21,11011.0,5020,0,0,0.0,0.0,0.040945,0.0,ohlcv_proxy
2020-12-22,10838.0,4684,0,0,0.0,0.0,0.040492,0.0,ohlcv_proxy
2020-12-23,10991.0,7674,0,0,0.0,0.0,0.037572,0.0,ohlcv_proxy
2020-12-24,11146.0,37576,0,0,0.0,0.0,0.039974,0.0,ohlcv_proxy
2020-12-28,11181.0,69435,0,0,0.0,0.0,0.042639,0.0,ohlcv_proxy
2020-12-29,11405.0,43017,0,0,0.0,0.0,0.042792,0.0,ohlcv_proxy
2020-12-30,11619.0,55537,0,0,1e-06,0.0,0.045129,0.0,ohlcv_proxy
