date,close,volume,inst_net_buy,foreign_net_buy,foreign_net_buy_norm,inst_net_buy_norm,foreign_ratio_feat,short_proxy_score,source,foreign_ratio,personal_net_buy,inst_net_value,foreign_net_value
2021-02-05,60093.0,861065.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,,,,
2021-02-08,60343.0,672689.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,,,,
2021-02-09,58841.0,624170.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,,,,
2021-02-10,58340.0,657561.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,,,,
2021-02-15,57339.0,632969.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,,,,
2021-02-16,57840.0,447610.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,,,,
2021-02-17,56838.0,528748.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,,,,
2021-02-18,56337.0,744520.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,,,,
2021-02-19,56838.0,542896.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,,,,
2021-02-22,55586.0,568664.0,0.0,0.0,-0.0,0.0,,0.0,ohlcv_proxy,,,,
2021-02-23,55336.0,671685.0,0.0,0.0,-0.0,0.0,-0.068539,0.0,ohlcv_proxy,,,,
2021-02-24,52081.0,1197128.0,0.0,0.0,-0.0,0.0,-0.070135,0.0,ohlcv_proxy,,,,
2021-02-25,58340.0,1463573.0,0.0,0.0,0.0,0.0,-0.047778,0.0,ohlcv_proxy,,,,
2021-02-26,55586.0,1539459.0,0.0,0.0,-0.0,0.0,-0.046105,0.0,ohlcv_proxy,,,,
2021-03-02,54584.0,960153.0,0.0,0.0,-0.0,0.0,-0.043574,0.0,ohlcv_proxy,,,,
2021-03-03,55586.0,487726.0,0.0,0.0,-0.0,0.0,-0.046183,0.0,ohlcv_proxy,,,,
2021-03-04,55836.0,760295.0,0.0,0.0,-0.0,0.0,-0.029214,0.0,ohlcv_proxy,,,,
2021-03-05,54835.0,532520.0,0.0,0.0,-0.0,0.0,-0.038915,0.0,ohlcv_proxy,,,,
2021-03-08,53583.0,488920.0,0.0,0.0,-0.0,0.0,-0.036793,0.0,ohlcv_proxy,,,,
2021-03-09,56337.0,871984.0,0.0,0.0,-0.0,0.0,-0.018243,0.0,ohlcv_proxy,,,,
2021-03-10,56087.0,705211.0,0.0,0.0,-0.0,0.0,-0.012251,0.0,ohlcv_proxy,,,,
2021-03-11,57589.0,935472.0,0.0,0.0,0.0,0.0,-0.002004,0.0,ohlcv_proxy,,,,
2021-03-12,59342.0,798001.0,0.0,0.0,0.0,0.0,0.012385,0.0,ohlcv_proxy,,,,
2021-03-15,60594.0,1150980.0,0.0,0.0,0.0,0.0,0.031688,0.0,ohlcv_proxy,,,,
2021-03-16,60594.0,700927.0,0.0,0.0,0.0,0.0,0.042638,0.0,ohlcv_proxy,,,,
2021-03-17,61595.0,659951.0,0.0,0.0,0.0,0.0,0.055173,0.0,ohlcv_proxy,,,,
2021-03-18,60093.0,640872.0,0.0,0.0,0.0,0.0,0.062914,0.0,ohlcv_proxy,,,,
2021-03-19,59592.0,640739.0,0.0,0.0,0.0,0.0,0.061999,0.0,ohlcv_proxy,,,,
2021-03-22,60343.0,683311.0,0.0,0.0,0.0,0.0,0.058218,0.0,ohlcv_proxy,,,,
2021-03-23,60594.0,1236203.0,0.0,0.0,0.0,0.0,0.053006,0.0,ohlcv_proxy,,,,
2021-03-24,61345.0,436032.0,0.0,0.0,0.0,0.0,0.047916,0.0,ohlcv_proxy,,,,
2021-03-25,62096.0,705724.0,0.0,0.0,0.0,0.0,0.043649,0.0,ohlcv_proxy,,,,
