Date,Open,High,Low,Close,Volume
2020-12-30,48150,48600,47650,48000,331957
2021-01-04,48050,48450,46550,48250,481406
2021-01-05,48200,58100,48000,53800,2122234
2021-01-06,54700,55800,52200,52300,728366
2021-01-07,53000,54200,52600,53400,604426
2021-01-08,53900,54500,52400,52800,535448
2021-01-11,52800,52900,50300,52000,765670
2021-01-12,51900,52200,50500,52000,409634
2021-01-13,52200,53500,51600,51800,521206
2021-01-14,51300,54000,51200,52200,613548
2021-01-15,52800,52900,50000,50100,561764
2021-01-18,48600,49350,47700,48050,554307
2021-01-19,48000,49100,47450,49100,346225
2021-01-20,49200,49300,47750,48400,429661
2021-01-21,48550,50800,48400,48800,494944
2021-01-22,48850,49200,47700,47900,401332
2021-01-25,47900,48650,47850,48400,338950
2021-01-26,48700,48750,47500,47650,329986
2021-01-27,47900,47950,46100,46300,369197
2021-01-28,44550,45300,44150,44350,477327
2021-01-29,44950,45000,41800,43100,495376
2021-02-01,42900,47150,42500,46350,506609
2021-02-02,46550,47150,45450,46350,293953
2021-02-03,46600,48000,46600,46950,314207
2021-02-04,47300,47350,46000,46200,212260
2021-02-05,46500,47200,45950,47050,213441
2021-02-08,47050,50300,47050,49800,993103
2021-02-09,50200,50800,49000,49450,426639
2021-02-10,49450,49650,48700,49500,234352
2021-02-15,50900,52500,50400,52100,686831
2021-02-16,52800,52900,50900,51500,412260
2021-02-17,51400,51600,49900,50100,335577
2021-02-18,49800,51000,49750,50100,242356
2021-02-19,49950,50900,48600,50800,320229
2021-02-22,51500,51700,50300,50400,321410
2021-02-23,50900,53000,50000,52300,828355
2021-02-24,52900,53500,50800,51200,662666
2021-02-25,52200,53300,51600,53100,493221
2021-02-26,51300,54500,51200,54000,733209
2021-03-02,55000,56000,52400,53000,548348
2021-03-03,52200,53600,52100,53500,290643
2021-03-04,52600,53700,52100,53200,303751
2021-03-05,52500,52900,51500,52200,251278
2021-03-08,52700,56200,52000,54800,925264
2021-03-09,55100,59100,53400,58600,1217717
2021-03-10,57800,59000,56900,57300,481086
2021-03-11,57700,59100,56500,56900,674503
2021-03-12,57300,59000,56500,58500,441123
2021-03-15,58900,62800,58000,61300,955978
2021-03-16,61300,62100,60500,61900,369193
2021-03-17,61300,61500,59500,60700,440748
2021-03-18,61300,61600,60300,60900,232461
2021-03-19,59500,60500,58900,60400,312020
2021-03-22,60400,60600,58500,60300,213171
2021-03-23,60500,60800,58500,58800,262856
2021-03-24,58000,59700,57600,58400,383417
2021-03-25,58200,59100,57500,57800,308319
2021-03-26,58500,64200,58400,63700,1384604
2021-03-29,64600,67400,64100,64600,1076419
2021-03-30,65100,66400,63200,65600,441911
2021-03-31,65600,68700,64500,66900,579526
2021-04-01,66900,67700,63800,64200,451189
2021-04-02,65000,67000,63400,66500,342928
2021-04-05,67000,69500,66500,67400,490106
2021-04-06,67700,68200,66200,67000,289167
2021-04-07,67100,67700,65500,65500,299536
2021-04-08,65900,67300,65100,65700,281102
2021-04-09,66200,66400,64700,65200,191929
2021-04-12,65200,68000,64400,66900,395877
2021-04-13,67400,68000,66400,66600,220486
2021-04-14,67100,67200,65700,66400,181975
2021-04-15,66400,66800,65700,66000,207205
2021-04-16,66100,67200,65400,66600,189998
2021-04-19,67000,68300,66400,67800,296239
2021-04-20,67900,70000,67800,69900,492423
2021-04-21,69500,69800,67100,67900,442979
2021-04-22,68400,69000,67500,67800,271041
2021-04-23,67400,67800,66000,66800,303031
2021-04-26,67300,73400,67300,73000,1010620
2021-04-27,73000,74400,72200,73900,420882
2021-04-28,74400,78700,73600,75200,1015803
2021-04-29,76000,79900,75600,78500,688625
2021-04-30,80500,88700,80400,85800,1963381
2021-05-03,85800,94300,84200,86100,1387245
2021-05-04,84400,85300,79400,83100,1127344
2021-05-06,81900,91500,80600,91500,941305
2021-05-07,91900,93900,90200,92900,646347
2021-05-10,93100,93600,90800,93000,637493
2021-05-11,91800,97100,91700,94100,611048
2021-05-12,93200,94600,90400,92300,678745
2021-05-13,90000,94400,88600,89600,748901
2021-05-14,91400,91800,87000,88900,545984
2021-05-17,89100,92700,88500,91000,447708
2021-05-18,91500,94900,88600,93900,493447
2021-05-20,92000,93000,88100,89300,702904
2021-05-21,89700,90700,87000,88300,413906
2021-05-24,88600,91600,88300,90700,392795
2021-05-25,91800,92200,89800,90800,294134
2021-05-26,90900,91200,88500,89600,426285
2021-05-27,88900,89100,83000,83600,1215693
2021-05-28,83100,85400,82200,85100,443563
2021-05-31,85200,85600,83000,84600,384435
2021-06-01,85200,89800,84800,89300,800614
2021-06-02,90400,90600,88000,89700,416105
2021-06-03,89800,89800,86700,87500,394845
2021-06-04,87000,89900,86300,87400,386379
