_date,Open,High,Low,Close,Volume
2026-02-24,150.07,153.16,147.48,152.46,40085150
2026-02-25,153.98,165.71,153.98,162.79,57001785
2026-02-26,164.95,169.15,162.79,167.72,89891308
2026-02-27,170.98,175.89,165.33,167.71,37327343
2026-03-03,166.07,167.48,153.86,154.92,32334673
2026-03-04,147.96,150.18,129.38,132.64,36892914
2026-03-05,135.6,150.27,135.6,147.18,26568349
2026-03-06,144.53,155.59,143.65,155.26,20603573
2026-03-09,152.04,152.04,142.21,148.77,19438400
2026-03-10,154.96,159.11,152.17,154.2,24205400
2026-03-11,158.35,160.18,153.29,155.5,27374243
2026-03-12,154.69,165.32,154.69,162.65,44601222
2026-03-13,159.51,177.56,159.51,172.44,113974150
2026-03-16,173.72,174.91,166.91,167.86,43130173
2026-03-17,171.2,174.08,168.44,168.69,27457126
2026-03-18,171.42,185.31,171.42,182.39,129400082
2026-03-19,181.26,188.27,181.26,186.69,170034977
2026-03-20,192.44,203.73,191.17,199.0,234737418
2026-03-23,201.36,201.36,186.1,186.4,72529372
2026-03-24,194.55,194.82,172.4,179.57,89173285
2026-03-25,184.06,190.12,179.33,186.03,61928130
2026-03-26,187.32,187.32,177.52,179.3,36733016
2026-03-27,175.9,180.38,172.0,179.59,67759379
2026-03-30,171.8,179.03,169.31,178.63,44454615
2026-03-31,179.66,179.66,169.29,169.63,32452208
2026-04-01,180.98,192.22,180.77,190.29,95082051
2026-04-02,192.81,192.81,172.78,175.6,67330303
2026-04-03,180.96,186.41,179.87,182.62,55664898
2026-04-06,184.05,187.76,181.27,183.0,42338120
2026-04-07,186.42,193.63,181.09,184.28,48323528
2026-04-08,195.36,224.78,194.0,219.99,151233664
2026-04-09,212.92,222.0,209.16,217.78,132610644
2026-04-10,222.81,227.12,215.56,219.02,85510055
2026-04-13,213.36,216.78,209.69,214.95,44978756
2026-04-14,219.68,220.98,211.95,217.32,52723819
2026-04-15,222.54,236.01,221.59,230.32,123300812
2026-04-16,232.16,232.16,223.41,229.5,65209647
2026-04-17,227.5,230.12,224.11,228.05,42825941
2026-04-20,224.75,228.12,222.02,224.03,29221327
2026-04-21,227.93,241.93,227.93,236.38,122850459
2026-04-22,232.16,233.66,228.82,233.52,56031120
2026-04-23,238.27,245.17,232.71,238.75,61886050
2026-04-24,239.7,240.05,232.74,237.12,29263937
2026-04-27,238.01,238.65,232.13,236.55,70514964
2026-04-28,239.61,256.6,235.29,242.72,183310438
2026-04-29,243.78,243.78,237.0,243.45,58322609
2026-04-30,242.1,242.1,232.11,233.39,34873497
2026-05-04,233.52,233.95,219.69,224.07,46403738
2026-05-06,225.14,229.89,218.96,225.18,42216882
2026-05-07,225.43,242.42,225.43,231.77,62659797
2026-05-08,225.47,226.8,221.09,226.78,18663096
2026-05-11,222.56,230.06,221.87,223.94,21338910
2026-05-12,221.38,222.49,205.1,212.75,27110301
2026-05-13,210.16,213.33,204.6,210.92,15641017
2026-05-14,213.38,223.99,213.38,223.99,27109325
2026-05-15,222.13,222.13,201.38,205.46,29696583
2026-05-18,199.31,201.95,187.91,200.61,25444943
2026-05-19,201.54,203.33,188.87,191.15,16213283
2026-05-20,190.2,191.27,180.84,186.32,17328611
2026-05-21,195.54,202.05,191.21,198.06,24389376
