,Open,High,Low,Close,Volume
2026-02-24,75034.08,77900.53,74536.1,77900.06,315064787
2026-02-25,78930.58,80071.21,78099.81,79176.47,214466219
2026-02-26,80223.1,84557.35,80077.29,84429.73,211707770
2026-02-27,82021.07,85311.78,81731.11,83089.12,282877014
2026-03-03,82001.13,82001.13,74905.8,74905.8,191466486
2026-03-04,71493.9,75051.85,66199.56,66332.56,222193030
2026-03-05,66860.78,76695.4,66841.48,73741.68,164020025
2026-03-06,72201.14,73591.01,70114.65,72938.12,152129284
2026-03-09,67602.27,68499.26,65041.58,67260.59,120594331
2026-03-10,72230.9,74114.53,71382.78,73009.28,130036313
2026-03-11,101185.0,101500.0,97515.0,98400.0,4840398
2026-03-12,97645.0,99330.0,96905.0,98100.0,4483521
2026-03-13,94945.0,97855.0,94720.0,96935.0,3419640
2026-03-16,72033.41,73829.86,71496.0,73736.73,72319994
2026-03-17,103300.0,103300.0,99470.0,99470.0,4376426
2026-03-18,77236.85,80710.95,77185.58,80532.38,298868920
2026-03-19,77545.11,79639.26,77305.95,77822.1,200162329
2026-03-20,78580.92,78704.51,77245.01,77507.13,194943485
2026-03-23,74228.2,74255.32,72180.81,72313.12,191028583
2026-03-24,102005.0,102215.0,97055.0,100125.0,5955462
2026-03-25,102215.0,104220.0,101190.0,101690.0,4046155
2026-03-26,99705.0,100320.0,95800.0,95990.0,8092744
2026-03-27,94685.0,96945.0,91525.0,95450.0,6110247
2026-03-30,67809.39,69674.95,67499.26,69358.52,145909747
2026-03-31,66843.8,68406.32,65364.94,65406.95,129956522
2026-04-01,70023.03,73425.17,69366.03,72836.79,117146034
2026-04-02,73929.21,74320.58,67736.87,68789.59,159679502
2026-04-03,71248.78,72140.84,70403.34,71612.41,286067949
2026-04-06,93799.03871594743,95387.58290893202,92640.1008141474,93244.546875,2791787
2026-04-07,75824.46,76246.17,73330.11,74812.88,175728232
2026-04-08,80364.77,82386.35,79336.92,81079.33,165596505
2026-04-09,79814.87,80487.15,78439.99,79052.12,147370871
2026-04-10,80879.69,81682.31,80165.58,80332.88,216802739
2026-04-13,78148.07,80210.38,78148.07,79695.15,159810297
2026-04-14,82474.9,83769.29,81875.09,82523.79,143954453
2026-04-15,85810.26,86286.49,84012.81,84472.7,341429150
2026-04-16,84978.06,86667.01,84309.35,86526.93,296616492
2026-04-17,86439.62,86818.12,85392.04,85842.4,195812437
2026-04-20,86182.18,87780.51,85664.18,86740.15,169289742
2026-04-21,88280.96,90145.55,88280.96,90098.67,201212607
2026-04-22,90315.51,90822.75,88941.14,90344.61,264380241
2026-04-23,91269.88,93479.76,88468.05,91559.51,416938770
2026-04-24,91946.29,92366.08,89636.2,91148.99,370202762
2026-04-27,91910.72,95001.41,91910.72,94112.97,240253764
2026-04-28,94803.37,95575.27,93995.31,94137.56,117164983
2026-04-29,93353.77,95547.48,93192.83,94959.77,208180797
2026-04-30,96072.18,96585.53,93634.43,93634.43,202731831
2026-05-04,96894.2,100884.6,96310.38,100840.2,162967780
2026-05-06,104474.4,112699.2,104474.4,111902.6,211838903
2026-05-07,114250.6,114836.5,109227.7,114210.8,161195143
2026-05-08,110665.9,114607.0,110660.7,114246.2,126657964
2026-05-11,120666.8,124148.9,119733.8,122091.3,158122001
2026-05-12,124614.9,125635.2,115420.0,119293.5,205866700
2026-05-13,115478.5,124165.7,114168.3,123767.7,161586366
2026-05-14,124044.8,127348.4,123629.9,126149.6,193111721
2026-05-15,125156.2,127237.1,114568.7,116517.1,161419481
2026-05-18,115492.0,121756.2,111599.6,118856.4,124982891
2026-05-19,116627.9,117474.7,112428.0,114701.7,99805376
2026-05-20,115531.3,116384.1,111255.7,114535.9,120803257
2026-05-21,119618.5,125883.4,119241.5,125632.6,192855866
