,Open,High,Low,Close,Volume
2026-02-24,1793.62,1849.07,1782.08,1842.24,12761999
2026-02-25,1847.61,1915.68,1817.27,1888.24,13896364
2026-02-26,1881.78,1895.82,1860.27,1894.29,10451803
2026-02-27,1878.86,1919.3,1867.83,1901.8,17815530
2026-03-03,1912.03,1953.81,1831.74,1833.45,22787081
2026-03-04,1787.4,1815.11,1565.45,1575.63,29371003
2026-03-05,1665.68,1735.95,1652.67,1705.95,16754927
2026-03-06,1697.29,1741.21,1666.79,1739.98,27122073
2026-03-09,1666.39,1697.49,1606.81,1642.18,15909740
2026-03-10,1686.59,1700.16,1650.65,1677.36,9978637
2026-03-11,15820.0,16170.0,15635.0,15800.0,78288
2026-03-12,15680.0,15980.0,15600.0,15810.0,50860
2026-03-13,15455.0,15455.0,15040.0,15080.0,85141
2026-03-16,1617.03,1633.28,1593.5,1600.38,8320160
2026-03-17,15075.0,15410.0,15045.0,15260.0,87070
2026-03-18,1670.41,1717.5,1670.17,1714.21,9419376
2026-03-19,1682.75,1691.18,1663.05,1666.19,6419019
2026-03-20,1697.33,1729.34,1695.46,1702.56,19881401
2026-03-23,1661.98,1662.33,1574.85,1579.7,10028009
2026-03-24,15095.0,15150.0,14620.0,15045.0,54589
2026-03-25,15395.0,15500.0,15240.0,15415.0,47819
2026-03-26,15535.0,15640.0,15030.0,15070.0,58969
2026-03-27,14860.0,14975.0,14350.0,14955.0,35130
2026-03-30,1542.02,1607.59,1532.42,1600.57,11067746
2026-03-31,1571.37,1589.01,1526.55,1535.24,12516531
2026-04-01,1601.59,1620.72,1566.73,1614.87,8871122
2026-04-02,1624.72,1653.22,1546.05,1563.87,10664703
2026-04-03,1595.22,1614.65,1579.18,1605.58,23773580
2026-04-06,14981.396451608758,15365.534822162828,14981.396451608758,15165.982421875,111979
2026-04-07,1632.59,1668.05,1606.89,1616.19,11875258
2026-04-08,1695.01,1706.4,1653.57,1695.52,13801299
2026-04-09,1701.46,1728.13,1687.87,1723.62,32531097
2026-04-10,1742.64,1752.52,1729.13,1737.87,11094894
2026-04-13,1712.35,1716.27,1694.88,1709.81,10137348
2026-04-14,1733.73,1741.25,1718.86,1732.12,17836639
2026-04-15,1760.65,1784.09,1759.05,1774.98,10759973
2026-04-16,1797.91,1831.5,1786.36,1831.09,17920620
2026-04-17,1825.74,1830.89,1810.73,1825.67,42034379
2026-04-20,1832.14,1844.95,1807.42,1824.5,10993823
2026-04-21,1842.3,1879.47,1837.15,1879.47,15469136
2026-04-22,1876.28,1901.49,1855.41,1901.24,13380930
2026-04-23,1918.58,1936.13,1864.5,1930.42,18677755
2026-04-24,1943.44,1967.95,1934.18,1965.56,14500398
2026-04-27,1986.03,1987.44,1933.92,1962.17,13332921
2026-04-28,1979.8,2010.85,1975.92,1982.24,26242814
2026-04-29,1994.47,2085.67,1988.43,2081.95,20744953
2026-04-30,2082.52,2108.59,2055.27,2066.35,20849004
2026-05-04,2117.66,2124.46,2079.86,2111.95,17520249
2026-05-06,2096.72,2179.99,2079.76,2122.73,16901724
2026-05-07,2125.62,2142.91,2076.89,2123.7,12445000
2026-05-08,2117.79,2118.99,2069.59,2117.14,9272259
2026-05-11,2145.62,2158.27,2101.3,2108.2,12551705
2026-05-12,2112.58,2112.58,1967.9,2027.67,16356971
2026-05-13,2046.59,2052.67,1979.61,2044.85,9479614
2026-05-14,2056.98,2062.48,2000.07,2054.06,14578901
2026-05-15,2069.67,2101.81,1902.2,1934.07,17130424
2026-05-18,1930.64,1963.74,1838.73,1948.33,9863899
2026-05-19,1941.63,1956.91,1844.37,1884.83,7922939
2026-05-20,1895.73,1901.18,1805.72,1835.24,7868290
2026-05-21,1882.41,1934.86,1873.11,1934.86,8052362
