,Open,High,Low,Close,Volume
2026-02-24,1847.7,1849.83,1767.28,1811.19,66589709
2026-02-25,1816.81,1854.4,1797.06,1828.66,74812661
2026-02-26,1813.21,1820.78,1787.67,1813.46,52265156
2026-02-27,1797.83,1798.56,1750.06,1751.26,51141269
2026-03-03,1732.12,1747.94,1692.46,1696.61,40579376
2026-03-04,1644.96,1644.96,1489.77,1514.44,54553946
2026-03-05,1618.54,1663.72,1606.15,1629.51,47503753
2026-03-06,1584.92,1623.82,1571.54,1620.07,34633869
2026-03-09,1524.66,1565.84,1486.0,1560.85,29587447
2026-03-10,1622.09,1632.96,1570.73,1596.02,26352703
2026-03-11,15088.137098059991,15586.424320585087,15008.411142455974,15137.9658203125,1017142
2026-03-12,15018.377476864382,15043.291838969331,14779.199600656852,14958.5830078125,611885
2026-03-13,14500.158810499235,14878.857116202998,14400.501361629827,14709.439453125,680778
2026-03-16,1602.67,1630.41,1588.4,1600.27,20933017
2026-03-17,14873.87357309371,15068.205589626592,14754.284639842705,14878.8564453125,705583
2026-03-18,1653.75,1689.46,1651.87,1683.35,49185163
2026-03-19,1645.7,1686.21,1638.63,1664.34,22235503
2026-03-20,1670.77,1694.51,1668.13,1680.65,46102796
2026-03-23,1619.76,1621.71,1559.91,1566.77,25670139
2026-03-24,14868.891136023118,14938.651349127784,14300.84368645655,14549.9873046875,676461
2026-03-25,15013.393771012572,15093.119725322627,14799.130268804294,14913.736328125,454367
2026-03-26,14913.736635933352,15167.86312054164,14853.942168966696,15018.376953125,558201
2026-03-27,14749.301712779974,15177.828722002634,14500.158102766798,15128.0,531516
2026-03-30,1545.73,1587.72,1537.41,1574.12,18075780
2026-03-31,1541.27,1571.03,1529.81,1539.46,22268218
2026-04-01,1614.74,1635.22,1590.83,1620.23,22287788
2026-04-02,1640.67,1659.26,1552.1,1569.47,22085536
2026-04-03,1602.27,1607.86,1569.34,1570.37,12323891
2026-04-06,14565.715389784948,14949.2858702957,14565.715389784948,14824.75,2866095
2026-04-07,1594.56,1621.36,1571.73,1572.4,15336369
2026-04-08,1653.35,1686.6,1653.35,1673.37,24852029
2026-04-09,1678.86,1681.6,1650.36,1657.93,20191387
2026-04-10,1674.73,1707.27,1674.73,1690.98,20744096
2026-04-13,1660.56,1691.35,1659.35,1684.49,13291562
2026-04-14,1714.53,1737.38,1713.59,1721.58,25552311
2026-04-15,1745.49,1769.65,1728.37,1730.34,24036767
2026-04-16,1745.69,1764.91,1740.76,1750.01,19017894
2026-04-17,1745.81,1754.46,1737.28,1743.27,13427118
2026-04-20,1757.22,1760.77,1736.79,1736.85,12175857
2026-04-21,1745.81,1751.68,1730.43,1735.94,14328272
2026-04-22,1721.79,1728.05,1693.7,1707.95,18324228
2026-04-23,1728.68,1732.72,1690.69,1719.67,20920880
2026-04-24,1718.7,1725.37,1706.81,1713.7,16583470
2026-04-27,1720.7,1724.58,1697.12,1710.53,24150441
2026-04-28,1709.25,1736.49,1707.39,1724.56,18410111
2026-04-29,1724.66,1724.79,1702.61,1716.38,20660056
2026-04-30,1715.66,1721.88,1696.46,1700.62,22602420
2026-05-04,1725.65,1740.7,1697.38,1729.5,31825615
2026-05-06,1754.61,1810.13,1752.68,1784.39,65462532
2026-05-07,1785.71,1791.91,1750.61,1785.47,34684882
2026-05-08,1780.5,1787.85,1756.52,1769.77,24747773
2026-05-11,1786.39,1797.67,1754.55,1759.42,26315479
2026-05-12,1776.56,1788.57,1679.98,1713.66,45189715
2026-05-13,1724.69,1727.15,1678.31,1696.54,27488932
2026-05-14,1706.98,1756.06,1686.79,1756.06,68424579
2026-05-15,1760.95,1787.71,1681.62,1708.08,46748142
2026-05-18,1711.5,1711.5,1646.44,1684.11,40061870
2026-05-19,1685.41,1707.2,1648.94,1674.82,44382636
2026-05-20,1693.23,1694.1,1624.3,1653.41,31423465
2026-05-21,1693.2,1725.45,1693.06,1722.31,25874824
