_date,Open,High,Low,Close,Volume
2026-02-24,1089.6,1096.91,1056.15,1089.11,237808687
2026-02-25,1097.06,1123.8,1084.67,1109.43,234004620
2026-02-26,1105.12,1112.68,1090.56,1111.8,581368384
2026-02-27,1099.53,1100.51,1075.55,1079.74,279313057
2026-03-03,1068.16,1076.11,1026.1,1027.9,157795089
2026-03-04,992.64,992.64,893.27,908.44,190333869
2026-03-05,957.04,1001.67,955.22,983.49,374513368
2026-03-06,958.78,979.95,946.98,978.33,296827667
2026-03-09,921.81,935.51,902.16,933.78,120950185
2026-03-10,973.88,980.64,948.2,964.95,201416483
2026-03-11,996.0,1026.09,987.21,996.31,220499342
2026-03-12,987.79,995.86,976.47,986.5,84554972
2026-03-13,953.55,974.91,951.32,965.71,71658455
2026-03-16,964.94,979.44,957.65,967.61,74908635
2026-03-17,992.2,996.99,984.17,985.92,81452953
2026-03-18,1006.36,1029.05,1006.36,1025.8,227467930
2026-03-19,1002.38,1021.78,999.9,1007.56,430594469
2026-03-20,1015.03,1026.24,1015.03,1021.84,593405799
2026-03-23,985.02,985.02,945.98,949.05,239702818
2026-03-24,983.77,984.98,944.08,968.8,205281409
2026-03-25,996.04,1006.11,990.65,997.55,158766120
2026-03-26,994.43,995.46,973.51,976.13,178628767
2026-03-27,951.17,977.0,940.44,976.13,92084698
2026-03-30,924.27,942.28,918.19,936.72,79911419
2026-03-31,914.45,929.19,901.73,905.13,104911100
2026-04-01,952.04,963.52,936.29,956.48,180372693
2026-04-02,968.06,974.11,907.12,917.2,103162752
2026-04-03,937.5,940.47,922.25,927.5,75605501
2026-04-06,927.44,946.33,927.44,935.23,75979828
2026-04-07,941.13,952.59,923.75,927.45,36773573
2026-04-08,965.54,1000.7,965.54,996.09,52361347
2026-04-09,993.49,996.34,983.86,987.62,37123538
2026-04-10,1000.05,1012.35,1000.05,1004.45,39938013
2026-04-13,984.36,1003.51,983.63,999.81,33286768
2026-04-14,1021.3,1039.21,1021.01,1033.68,52191607
2026-04-15,1055.02,1065.32,1047.36,1049.9,48328996
2026-04-16,1059.8,1068.02,1056.93,1065.04,43514477
2026-04-17,1064.26,1064.26,1056.69,1059.28,28985110
2026-04-20,1068.25,1075.74,1060.21,1060.76,28172277
2026-04-21,1069.48,1072.62,1062.21,1068.4,34408368
2026-04-22,1061.81,1066.65,1051.83,1064.93,50440920
2026-04-23,1078.95,1083.77,1055.69,1076.69,55903331
2026-04-24,1079.21,1087.07,1076.25,1079.97,42708598
2026-04-27,1091.32,1103.86,1084.81,1097.26,145775198
2026-04-28,1100.98,1117.01,1099.92,1105.01,252356531
2026-04-29,1102.25,1115.61,1098.24,1111.3,79243040
2026-04-30,1118.93,1125.28,1104.81,1105.97,84478129
2026-05-04,1137.16,1160.3,1125.55,1158.11,192982217
2026-05-06,1170.87,1221.37,1170.87,1206.21,302838380
2026-05-07,1212.07,1215.55,1179.6,1208.9,105118531
2026-05-08,1195.65,1207.23,1186.11,1204.66,90075906
2026-05-11,1232.77,1238.64,1214.58,1219.84,85907993
2026-05-12,1236.46,1242.67,1156.41,1183.34,112589774
2026-05-13,1178.43,1190.28,1154.78,1188.92,65540560
2026-05-14,1196.13,1210.67,1184.5,1210.67,108884584
2026-05-15,1213.54,1228.68,1145.02,1165.04,111881865
2026-05-18,1165.85,1168.45,1110.32,1155.28,84200455
2026-05-19,1148.0,1155.58,1112.63,1129.93,83786744
2026-05-20,1141.38,1141.38,1092.8,1114.77,65180119
2026-05-21,1147.55,1192.99,1147.55,1192.92,59774449
