,Open,High,Low,Close,Volume
2026-02-24,8476.56,8874.19,8409.51,8840.14,52610315
2026-02-25,8964.64,9161.62,8871.63,9069.79,58860030
2026-02-26,9227.6,9683.55,9190.06,9670.53,71708735
2026-02-27,9434.34,9770.47,9374.0,9552.89,96506668
2026-03-03,9421.51,9421.51,8549.88,8551.95,89319102
2026-03-04,8135.17,8531.65,7446.84,7542.62,127708195
2026-03-05,7636.75,8731.52,7632.88,8380.21,81300474
2026-03-06,8206.21,8403.12,7956.91,8344.75,47899385
2026-03-09,7753.41,7824.92,7450.85,7723.94,64043992
2026-03-10,8224.5,8449.37,8101.88,8325.41,51627919
2026-03-11,101185.0,101500.0,97515.0,98400.0,4840398
2026-03-12,97645.0,99330.0,96905.0,98100.0,4483521
2026-03-13,94945.0,97855.0,94720.0,96935.0,3419640
2026-03-16,8162.34,8363.07,8088.98,8338.53,31657843
2026-03-17,103300.0,103300.0,99470.0,99470.0,4376426
2026-03-18,8785.66,9127.23,8778.12,9100.53,40782350
2026-03-19,8778.28,9075.07,8771.01,8881.71,32710267
2026-03-20,8957.09,8987.46,8777.84,8854.11,49954405
2026-03-23,8449.57,8452.8,8155.63,8220.09,45845795
2026-03-24,102005.0,102215.0,97055.0,100125.0,5955462
2026-03-25,102215.0,104220.0,101190.0,101690.0,4046155
2026-03-26,99705.0,100320.0,95800.0,95990.0,8092744
2026-03-27,94685.0,96945.0,91525.0,95450.0,6110247
2026-03-30,7706.9,7917.7,7659.14,7872.32,34136391
2026-03-31,7581.27,7759.71,7406.87,7437.99,57285984
2026-04-01,7960.65,8216.19,7841.94,8147.17,48460053
2026-04-02,8276.81,8331.48,7613.82,7730.65,59070853
2026-04-03,7981.58,8082.01,7859.5,7998.42,33944701
2026-04-06,93799.03871594743,95387.58290893202,92640.1008141474,93244.546875,2791787
2026-04-07,8356.97,8449.75,8107.06,8252.83,45066487
2026-04-08,8752.32,9179.56,8736.12,9082.55,56758141
2026-04-09,8975.08,9082.92,8862.16,8907.3,57962944
2026-04-10,9136.82,9250.4,9089.64,9114.92,37099708
2026-04-13,8887.26,9154.5,8886.84,9087.28,31871289
2026-04-14,9417.38,9600.21,9346.35,9487.26,39209133
2026-04-15,9884.28,9971.16,9717.68,9786.1,43074605
2026-04-16,9897.1,10036.94,9782.7,10036.94,35470076
2026-04-17,10051.35,10152.59,9959.01,10058.71,36007670
2026-04-20,10140.63,10372.05,10085.08,10234.65,33839386
2026-04-21,10446.51,10815.77,10438.14,10813.21,33859807
2026-04-22,10863.51,11016.37,10751.81,10995.2,45905952
2026-04-23,11037.63,11220.85,10626.76,10931.27,69608930
2026-04-24,11024.85,11066.67,10744.77,10906.92,37775456
2026-04-27,11070.34,11471.2,11064.29,11368.98,44138159
2026-04-28,11564.22,11765.24,11517.25,11622.78,39844336
2026-04-29,11530.02,11751.91,11497.14,11702.79,36135132
2026-04-30,11891.66,12001.51,11651.41,11657.12,43604520
2026-05-04,12191.19,12696.76,12081.47,12685.69,51371723
2026-05-06,13014.55,13753.81,13014.55,13644.24,80928003
2026-05-07,13859.54,13943.99,13259.09,13818.34,60697724
2026-05-08,13455.57,13879.77,13423.57,13853.6,43500704
2026-05-11,14429.54,14847.02,14227.14,14671.35,59346498
2026-05-12,14971.45,15179.15,13963.55,14420.26,86677715
2026-05-13,14080.18,15175.25,13977.32,15143.25,93130923
2026-05-14,15218.43,15470.04,15087.41,15342.51,95467828
2026-05-15,15363.28,15864.4,14271.03,14552.49,108369595
2026-05-18,14427.27,14806.01,13598.85,14536.49,65383393
2026-05-19,14278.86,14278.86,13552.45,13798.78,57484983
2026-05-20,13888.27,13913.29,13290.63,13853.28,61484921
2026-05-21,14458.76,15579.51,14458.76,15569.41,79026622
