,Open,High,Low,Close,Volume
2026-02-24,1490.44,1529.76,1487.34,1526.05,2127548
2026-02-25,1527.7,1625.81,1524.0,1598.48,2897921
2026-02-26,1605.23,1611.75,1566.83,1584.63,2827463
2026-02-27,1591.24,1679.32,1581.61,1634.48,13866298
2026-03-03,1649.26,1672.17,1570.35,1578.18,7716479
2026-03-04,1508.83,1562.77,1326.58,1333.76,7249680
2026-03-05,1437.67,1457.21,1405.24,1420.75,4315979
2026-03-06,1425.13,1474.35,1400.27,1462.34,5423618
2026-03-09,1391.55,1411.07,1324.86,1367.36,3028009
2026-03-10,1414.8,1418.71,1364.16,1379.28,2775905
2026-03-11,15205.0,15605.0,15090.0,15240.0,83753
2026-03-12,15240.0,15440.0,15170.0,15325.0,69624
2026-03-13,15075.0,15330.0,14935.0,15100.0,45209
2026-03-16,1378.3,1379.02,1335.13,1347.08,2640936
2026-03-17,14925.0,15085.0,14880.0,15000.0,36679
2026-03-18,1390.26,1413.34,1384.96,1412.65,1678953
2026-03-19,1385.18,1387.02,1359.35,1362.19,1395428
2026-03-20,1372.53,1392.76,1368.17,1380.28,2811232
2026-03-23,1338.74,1339.0,1282.04,1288.9,2018468
2026-03-24,14525.0,14700.0,14240.0,14690.0,72864
2026-03-25,14880.0,15025.0,14715.0,14995.0,43450
2026-03-26,15010.0,15085.0,14595.0,14625.0,43932
2026-03-27,14340.0,14455.0,13920.0,14420.0,38287
2026-03-30,1280.06,1315.61,1264.4,1312.56,1207769
2026-03-31,1290.15,1306.89,1263.67,1273.23,1815271
2026-04-01,1329.58,1362.36,1311.45,1356.08,1861316
2026-04-02,1368.0,1385.27,1298.24,1311.3,2787394
2026-04-03,1342.5,1364.96,1332.14,1344.42,2207808
2026-04-06,15021.644230416316,15170.520783740563,14594.864777553485,14788.404296875,75758
2026-04-07,1360.67,1373.29,1337.45,1346.05,2707507
2026-04-08,1385.09,1423.57,1375.39,1420.32,3245057
2026-04-09,1422.15,1439.11,1404.55,1417.63,2894067
2026-04-10,1427.83,1434.73,1410.53,1424.9,2418210
2026-04-13,1415.56,1429.77,1398.19,1425.23,1666795
2026-04-14,1450.49,1458.96,1438.08,1441.26,2090256
2026-04-15,1464.49,1475.44,1439.52,1448.77,1702446
2026-04-16,1461.95,1470.84,1452.17,1463.85,1416393
2026-04-17,1480.15,1483.55,1453.6,1476.1,1991856
2026-04-20,1483.18,1483.18,1462.83,1462.88,1549704
2026-04-21,1481.12,1508.64,1479.12,1501.04,3125275
2026-04-22,1498.01,1509.38,1480.67,1509.19,1827841
2026-04-23,1519.36,1526.06,1459.19,1495.65,2493169
2026-04-24,1498.64,1510.84,1474.06,1508.81,3486665
2026-04-27,1520.33,1524.06,1487.32,1519.31,2416266
2026-04-28,1544.91,1591.88,1544.91,1567.29,4885940
2026-04-29,1592.69,1592.69,1548.0,1575.16,4018193
2026-04-30,1570.91,1571.15,1519.52,1537.48,3387305
2026-05-04,1577.52,1590.78,1566.06,1577.79,3415947
2026-05-06,1585.48,1610.82,1560.08,1594.51,2725472
2026-05-07,1609.82,1609.82,1546.43,1566.19,2660742
2026-05-08,1557.42,1559.57,1530.04,1559.51,2262467
2026-05-11,1561.45,1563.42,1529.43,1536.84,2491944
2026-05-12,1546.95,1571.06,1455.89,1480.0,4360039
2026-05-13,1488.58,1505.78,1442.71,1487.81,2748523
2026-05-14,1505.09,1523.3,1485.73,1523.3,3531592
2026-05-15,1520.39,1554.75,1444.3,1471.91,5588546
2026-05-18,1476.56,1477.12,1371.36,1448.56,3059764
2026-05-19,1451.32,1453.98,1351.49,1377.76,3862255
2026-05-20,1376.75,1377.13,1282.85,1301.99,3313780
2026-05-21,1339.42,1384.84,1333.85,1374.92,2142484
