_date,Open,High,Low,Close,Volume
2026-02-24,650.98,655.89,638.93,649.33,3643217
2026-02-25,649.06,653.41,640.54,649.06,3096570
2026-02-26,648.26,655.9,644.74,652.44,6317066
2026-02-27,642.34,643.42,626.6,632.41,15117661
2026-03-03,629.39,640.48,619.73,620.92,5004940
2026-03-04,611.22,611.22,545.79,552.32,5957722
2026-03-05,599.71,603.1,585.39,592.09,4823766
2026-03-06,577.86,596.65,576.48,592.66,2758241
2026-03-09,560.44,591.73,557.43,589.69,3254545
2026-03-10,605.17,608.08,589.06,599.66,3874195
2026-03-11,604.72,614.89,598.14,600.53,5351214
2026-03-12,591.58,602.54,589.09,602.54,3087938
2026-03-13,583.97,594.78,583.97,589.01,4267120
2026-03-16,590.03,598.06,589.69,592.3,3576115
2026-03-17,598.37,618.96,597.83,611.65,14833562
2026-03-18,617.88,620.96,614.24,615.88,8744960
2026-03-19,604.25,608.59,601.11,602.52,11846751
2026-03-20,603.38,611.51,603.38,611.51,11647626
2026-03-23,591.95,593.06,575.32,580.12,5689630
2026-03-24,597.42,597.42,580.19,594.86,7758479
2026-03-25,614.51,615.1,604.44,610.97,9173276
2026-03-26,617.27,625.95,611.14,612.37,4126852
2026-03-27,604.15,618.26,599.01,617.43,4673684
2026-03-30,597.7,607.46,594.31,607.46,4781441
2026-03-31,600.99,607.54,593.78,600.34,10217715
2026-04-01,614.23,615.38,603.37,612.15,4956483
2026-04-02,614.07,619.6,598.28,601.19,14199817
2026-04-03,607.56,613.97,607.3,610.88,31390312
2026-04-06,609.17,619.39,608.47,613.89,16230137
2026-04-07,612.21,617.05,608.11,615.35,8664897
2026-04-08,638.69,657.83,635.08,649.3,20813954
2026-04-09,664.23,696.38,661.15,665.57,8646663
2026-04-10,674.81,687.0,655.87,675.5,5752612
2026-04-13,676.97,689.45,672.92,677.01,4983603
2026-04-14,695.77,706.78,690.21,692.45,4634198
2026-04-15,710.59,713.97,701.19,701.19,4647316
2026-04-16,706.91,706.91,688.58,689.19,3665489
2026-04-17,699.51,707.01,696.68,701.44,3497878
2026-04-20,704.25,704.25,689.75,689.75,4048374
2026-04-21,700.0,708.94,693.31,702.77,3652620
2026-04-22,701.53,704.54,691.38,694.1,4190867
2026-04-23,707.59,707.64,682.71,689.99,15244630
2026-04-24,693.92,697.92,689.3,691.96,3659137
2026-04-27,691.6,692.39,679.94,681.83,3359111
2026-04-28,679.52,681.94,676.26,677.25,2995350
2026-04-29,676.26,676.26,666.93,668.8,2806433
2026-04-30,672.57,673.03,663.04,667.19,4060859
2026-05-04,677.3,677.3,668.16,674.61,2373626
2026-05-06,674.98,675.24,656.11,656.11,5465780
2026-05-07,654.05,654.5,640.36,652.1,4388477
2026-05-08,665.71,667.4,647.44,650.22,4464403
2026-05-11,655.32,673.02,655.32,665.53,5477131
2026-05-12,679.82,702.71,673.29,689.74,6102944
2026-05-13,702.04,702.04,670.07,693.87,4214114
2026-05-14,690.21,699.85,673.24,699.85,4538359
2026-05-15,696.73,699.37,673.56,681.09,4411797
2026-05-18,692.74,693.73,657.25,667.73,3420683
2026-05-19,663.58,663.58,646.72,654.88,3163612
2026-05-20,668.8,669.7,650.28,652.55,3844387
2026-05-21,671.61,673.42,659.48,670.3,3509451
