_date,Open,High,Low,Close,Volume
2026-02-24,1812.26,1818.87,1767.92,1812.08,3143414
2026-02-25,1836.82,1876.34,1827.15,1847.4,4357359
2026-02-26,1843.18,1861.42,1806.11,1820.92,3439282
2026-02-27,1769.04,1769.04,1687.41,1697.25,11782548
2026-03-03,1644.14,1661.95,1505.28,1509.81,13893761
2026-03-04,1467.11,1478.87,1331.87,1355.11,21022307
2026-03-05,1470.18,1484.61,1405.3,1427.94,25054254
2026-03-06,1415.04,1462.25,1407.63,1443.85,11077051
2026-03-09,1355.27,1375.31,1313.56,1345.32,27423480
2026-03-10,1425.57,1436.97,1387.55,1415.42,17223997
2026-03-11,1463.32,1491.13,1410.07,1424.11,10420238
2026-03-12,1428.31,1452.3,1407.71,1418.9,7537264
2026-03-13,1387.29,1475.36,1387.29,1432.84,8725179
2026-03-16,1437.16,1437.16,1384.78,1392.53,3939131
2026-03-17,1429.65,1455.48,1414.16,1424.29,3932703
2026-03-18,1439.7,1480.82,1433.57,1472.82,3910878
2026-03-19,1446.97,1449.31,1427.13,1432.34,15037083
2026-03-20,1451.98,1474.97,1442.98,1467.68,10806876
2026-03-23,1462.76,1462.76,1366.79,1368.03,14096278
2026-03-24,1420.6,1422.77,1378.8,1400.74,5959827
2026-03-25,1421.26,1426.54,1387.19,1393.63,5397761
2026-03-26,1394.13,1398.57,1371.59,1381.68,3937833
2026-03-27,1332.38,1332.38,1278.2,1324.23,4615318
2026-03-30,1267.96,1276.58,1257.74,1276.25,4722034
2026-03-31,1254.96,1300.22,1233.71,1256.93,4546037
2026-04-01,1304.26,1316.16,1279.14,1313.95,3388988
2026-04-02,1317.03,1322.22,1232.26,1243.53,8462053
2026-04-03,1248.45,1248.45,1212.23,1223.15,5499345
2026-04-06,1221.44,1226.96,1208.38,1223.19,3128988
2026-04-07,1231.92,1248.05,1205.6,1209.3,3990472
2026-04-08,1296.15,1337.34,1292.78,1313.88,5849953
2026-04-09,1318.03,1326.72,1290.35,1302.2,3556236
2026-04-10,1313.0,1316.79,1288.19,1306.69,2680354
2026-04-13,1285.25,1285.25,1259.21,1273.01,2814677
2026-04-14,1312.22,1347.39,1303.8,1325.36,3948076
2026-04-15,1360.46,1360.46,1319.52,1324.29,4366274
2026-04-16,1333.49,1362.58,1327.97,1362.49,3599244
2026-04-17,1366.73,1376.93,1355.31,1366.44,2884491
2026-04-20,1362.35,1378.81,1344.7,1370.09,2973274
2026-04-21,1374.09,1383.3,1358.57,1370.97,2476518
2026-04-22,1360.85,1411.9,1345.83,1384.81,4245233
2026-04-23,1406.81,1413.63,1372.3,1386.48,4251260
2026-04-24,1381.29,1392.49,1375.28,1388.05,2998428
2026-04-27,1392.33,1392.75,1370.06,1378.05,2637239
2026-04-28,1362.24,1367.57,1346.17,1351.7,3189100
2026-04-29,1347.21,1360.21,1340.35,1348.49,3084886
2026-04-30,1342.94,1346.89,1322.46,1324.51,3814606
2026-05-04,1324.81,1360.41,1324.81,1346.15,3382889
2026-05-06,1388.37,1391.62,1352.81,1352.84,4020557
2026-05-07,1379.91,1405.1,1344.01,1348.95,4502220
2026-05-08,1334.08,1337.68,1317.37,1332.29,2381830
2026-05-11,1319.46,1323.49,1301.62,1304.5,2859578
2026-05-12,1302.74,1302.74,1232.07,1254.12,4752309
2026-05-13,1279.66,1279.66,1222.21,1240.25,2793563
2026-05-14,1229.89,1231.15,1191.97,1216.23,5386019
2026-05-15,1223.45,1237.45,1180.33,1195.39,4543896
2026-05-18,1179.66,1179.66,1122.07,1164.16,2884588
2026-05-19,1182.74,1214.78,1182.74,1201.41,3822840
2026-05-20,1193.86,1193.86,1124.73,1139.83,3895919
2026-05-21,1189.07,1209.4,1189.07,1204.92,3092276
