날짜,Consumer,Open,High,Low,Close,Volume,거래대금,상장시가총액,open,high,low,close,volume
2010-01-04,2375.41,,,,,,,,,,,,
2010-01-05,2400.51,,,,,,,,,,,,
2010-01-06,2391.73,,,,,,,,,,,,
2010-01-07,2361.72,,,,,,,,,,,,
2010-01-08,2368.81,,,,,,,,,,,,
2010-01-11,2368.51,,,,,,,,,,,,
2010-01-12,2361.26,,,,,,,,,,,,
2010-01-13,2329.08,,,,,,,,,,,,
2010-01-14,2331.06,,,,,,,,,,,,
2010-01-15,2337.37,,,,,,,,,,,,
2010-01-18,2313.4,,,,,,,,,,,,
2010-01-19,2319.39,,,,,,,,,,,,
2010-01-20,2300.82,,,,,,,,,,,,
2010-01-21,2294.11,,,,,,,,,,,,
2010-01-22,2278.49,,,,,,,,,,,,
2010-01-25,2277.94,,,,,,,,,,,,
2010-01-26,2265.88,,,,,,,,,,,,
2010-01-27,2275.06,,,,,,,,,,,,
2010-01-28,2273.88,,,,,,,,,,,,
2010-01-29,2251.79,,,,,,,,,,,,
2010-02-01,2234.31,,,,,,,,,,,,
2010-02-02,2242.75,,,,,,,,,,,,
2010-02-03,2245.73,,,,,,,,,,,,
2010-02-04,2219.81,,,,,,,,,,,,
2010-02-05,2176.43,,,,,,,,,,,,
2010-02-08,2145.25,,,,,,,,,,,,
2010-02-09,2132.87,,,,,,,,,,,,
2010-02-10,2114.07,,,,,,,,,,,,
2010-02-11,2154.71,,,,,,,,,,,,
2010-02-12,2141.71,,,,,,,,,,,,
2010-02-16,2175.79,,,,,,,,,,,,
2010-02-17,2191.4,,,,,,,,,,,,
2010-02-18,2179.75,,,,,,,,,,,,
2010-02-19,2181.0,,,,,,,,,,,,
2010-02-22,2208.42,,,,,,,,,,,,
2010-02-23,2215.95,,,,,,,,,,,,
2010-02-24,2208.19,,,,,,,,,,,,
2010-02-25,2191.86,,,,,,,,,,,,
2010-02-26,2209.87,,,,,,,,,,,,
2010-03-02,2222.85,,,,,,,,,,,,
2010-03-03,2215.01,,,,,,,,,,,,
2010-03-04,2209.38,,,,,,,,,,,,
2010-03-05,2233.87,,,,,,,,,,,,
2010-03-08,2250.1,,,,,,,,,,,,
2010-03-09,2257.53,,,,,,,,,,,,
2010-03-10,2289.46,,,,,,,,,,,,
2010-03-11,2275.21,,,,,,,,,,,,
2010-03-12,2284.13,,,,,,,,,,,,
2010-03-15,2277.56,,,,,,,,,,,,
2010-03-16,2274.19,,,,,,,,,,,,
2010-03-17,2295.4,,,,,,,,,,,,
2010-03-18,2299.07,,,,,,,,,,,,
2010-03-19,2303.11,,,,,,,,,,,,
2010-03-22,2275.97,,,,,,,,,,,,
2010-03-23,2273.24,,,,,,,,,,,,
2010-03-24,2303.09,,,,,,,,,,,,
2010-03-25,2310.8,,,,,,,,,,,,
2010-03-26,2294.15,,,,,,,,,,,,
2010-03-29,2280.97,,,,,,,,,,,,
2010-03-30,2298.74,,,,,,,,,,,,
2010-03-31,2312.44,,,,,,,,,,,,
2010-04-01,2327.46,,,,,,,,,,,,
2010-04-02,2300.66,,,,,,,,,,,,
2010-04-05,2288.09,,,,,,,,,,,,
2010-04-06,2299.79,,,,,,,,,,,,
2010-04-07,2333.5,,,,,,,,,,,,
2010-04-08,2345.24,,,,,,,,,,,,
2010-04-09,2347.29,,,,,,,,,,,,
2010-04-12,2369.19,,,,,,,,,,,,
2010-04-13,2354.36,,,,,,,,,,,,
2010-04-14,2376.26,,,,,,,,,,,,
2010-04-15,2376.88,,,,,,,,,,,,
2010-04-16,2358.61,,,,,,,,,,,,
2010-04-19,2347.56,,,,,,,,,,,,
2010-04-20,2351.38,,,,,,,,,,,,
2010-04-21,2366.31,,,,,,,,,,,,
2010-04-22,2335.05,,,,,,,,,,,,
2010-04-23,2334.78,,,,,,,,,,,,
2010-04-26,2344.15,,,,,,,,,,,,
2010-04-27,2348.78,,,,,,,,,,,,
2010-04-28,2310.77,,,,,,,,,,,,
2010-04-29,2306.01,,,,,,,,,,,,
2010-04-30,2306.32,,,,,,,,,,,,
2010-05-03,2322.8,,,,,,,,,,,,
2010-05-04,2339.7,,,,,,,,,,,,
2010-05-06,2321.02,,,,,,,,,,,,
2010-05-07,2278.44,,,,,,,,,,,,
2010-05-10,2279.26,,,,,,,,,,,,
2010-05-11,2310.75,,,,,,,,,,,,
2010-05-12,2328.71,,,,,,,,,,,,
2010-05-13,2348.95,,,,,,,,,,,,
2010-05-14,2322.16,,,,,,,,,,,,
2010-05-17,2330.83,,,,,,,,,,,,
2010-05-18,2378.11,,,,,,,,,,,,
2010-05-19,2348.3,,,,,,,,,,,,
2010-05-20,2334.16,,,,,,,,,,,,
2010-05-24,2324.93,,,,,,,,,,,,
2010-05-25,2276.09,,,,,,,,,,,,
2010-05-26,2295.28,,,,,,,,,,,,
2010-05-27,2296.62,,,,,,,,,,,,
2010-05-28,2316.34,,,,,,,,,,,,
2010-05-31,2341.78,,,,,,,,,,,,
2010-06-01,2348.52,,,,,,,,,,,,
2010-06-03,2387.25,,,,,,,,,,,,
2010-06-04,2374.66,,,,,,,,,,,,
2010-06-07,2365.22,,,,,,,,,,,,
2010-06-08,2379.83,,,,,,,,,,,,
2010-06-09,2379.56,,,,,,,,,,,,
2010-06-10,2384.06,,,,,,,,,,,,
2010-06-11,2394.37,,,,,,,,,,,,
2010-06-14,2399.41,,,,,,,,,,,,
2010-06-15,2396.65,,,,,,,,,,,,
2010-06-16,2397.49,,,,,,,,,,,,
2010-06-17,2414.65,,,,,,,,,,,,
2010-06-18,2410.45,,,,,,,,,,,,
2010-06-21,2437.97,,,,,,,,,,,,
2010-06-22,2427.27,,,,,,,,,,,,
2010-06-23,2422.65,,,,,,,,,,,,
2010-06-24,2430.95,,,,,,,,,,,,
2010-06-25,2421.27,,,,,,,,,,,,
2010-06-28,2435.73,,,,,,,,,,,,
2010-06-29,2435.95,,,,,,,,,,,,
2010-06-30,2436.02,,,,,,,,,,,,
2010-07-01,2416.63,,,,,,,,,,,,
2010-07-02,2385.59,,,,,,,,,,,,
2010-07-05,2401.14,,,,,,,,,,,,
2010-07-06,2411.74,,,,,,,,,,,,
2010-07-07,2402.98,,,,,,,,,,,,
2010-07-08,2425.58,,,,,,,,,,,,
2010-07-09,2423.76,,,,,,,,,,,,
