날짜,Materials,Open,High,Low,Close,Volume,거래대금,상장시가총액,open,high,low,close,volume
2010-01-04,1994.21,,,,,,,,,,,,
2010-01-05,1985.49,,,,,,,,,,,,
2010-01-06,1993.58,,,,,,,,,,,,
2010-01-07,1981.37,,,,,,,,,,,,
2010-01-08,1993.98,,,,,,,,,,,,
2010-01-11,1993.58,,,,,,,,,,,,
2010-01-12,1979.09,,,,,,,,,,,,
2010-01-13,1947.47,,,,,,,,,,,,
2010-01-14,1951.55,,,,,,,,,,,,
2010-01-15,1966.79,,,,,,,,,,,,
2010-01-18,1963.53,,,,,,,,,,,,
2010-01-19,1961.12,,,,,,,,,,,,
2010-01-20,1941.93,,,,,,,,,,,,
2010-01-21,1947.69,,,,,,,,,,,,
2010-01-22,1912.88,,,,,,,,,,,,
2010-01-25,1893.27,,,,,,,,,,,,
2010-01-26,1865.52,,,,,,,,,,,,
2010-01-27,1854.94,,,,,,,,,,,,
2010-01-28,1871.16,,,,,,,,,,,,
2010-01-29,1827.85,,,,,,,,,,,,
2010-02-01,1829.46,,,,,,,,,,,,
2010-02-02,1825.86,,,,,,,,,,,,
2010-02-03,1842.74,,,,,,,,,,,,
2010-02-04,1833.88,,,,,,,,,,,,
2010-02-05,1793.07,,,,,,,,,,,,
2010-02-08,1763.89,,,,,,,,,,,,
2010-02-09,1776.3,,,,,,,,,,,,
2010-02-10,1775.82,,,,,,,,,,,,
2010-02-11,1802.28,,,,,,,,,,,,
2010-02-12,1800.42,,,,,,,,,,,,
2010-02-16,1810.65,,,,,,,,,,,,
2010-02-17,1825.35,,,,,,,,,,,,
2010-02-18,1820.88,,,,,,,,,,,,
2010-02-19,1795.08,,,,,,,,,,,,
2010-02-22,1831.73,,,,,,,,,,,,
2010-02-23,1841.71,,,,,,,,,,,,
2010-02-24,1842.54,,,,,,,,,,,,
2010-02-25,1819.03,,,,,,,,,,,,
2010-02-26,1834.04,,,,,,,,,,,,
2010-03-02,1841.32,,,,,,,,,,,,
2010-03-03,1841.28,,,,,,,,,,,,
2010-03-04,1837.37,,,,,,,,,,,,
2010-03-05,1854.01,,,,,,,,,,,,
2010-03-08,1874.07,,,,,,,,,,,,
2010-03-09,1874.41,,,,,,,,,,,,
2010-03-10,1876.17,,,,,,,,,,,,
2010-03-11,1873.01,,,,,,,,,,,,
2010-03-12,1892.45,,,,,,,,,,,,
2010-03-15,1882.46,,,,,,,,,,,,
2010-03-16,1882.41,,,,,,,,,,,,
2010-03-17,1903.33,,,,,,,,,,,,
2010-03-18,1906.97,,,,,,,,,,,,
2010-03-19,1911.92,,,,,,,,,,,,
2010-03-22,1900.02,,,,,,,,,,,,
2010-03-23,1902.51,,,,,,,,,,,,
2010-03-24,1895.04,,,,,,,,,,,,
2010-03-25,1892.82,,,,,,,,,,,,
2010-03-26,1907.2,,,,,,,,,,,,
2010-03-29,1896.29,,,,,,,,,,,,
2010-03-30,1901.9,,,,,,,,,,,,
2010-03-31,1902.94,,,,,,,,,,,,
2010-04-01,1905.89,,,,,,,,,,,,
2010-04-02,1885.53,,,,,,,,,,,,
2010-04-05,1860.0,,,,,,,,,,,,
2010-04-06,1876.57,,,,,,,,,,,,
2010-04-07,1890.8,,,,,,,,,,,,
2010-04-08,1896.66,,,,,,,,,,,,
2010-04-09,1891.42,,,,,,,,,,,,
2010-04-12,1889.65,,,,,,,,,,,,
2010-04-13,1883.6,,,,,,,,,,,,
2010-04-14,1904.2,,,,,,,,,,,,
2010-04-15,1915.01,,,,,,,,,,,,
2010-04-16,1908.46,,,,,,,,,,,,
2010-04-19,1883.47,,,,,,,,,,,,
2010-04-20,1904.61,,,,,,,,,,,,
2010-04-21,1924.17,,,,,,,,,,,,
2010-04-22,1916.54,,,,,,,,,,,,
2010-04-23,1911.24,,,,,,,,,,,,
2010-04-26,1916.35,,,,,,,,,,,,
2010-04-27,1910.13,,,,,,,,,,,,
2010-04-28,1884.33,,,,,,,,,,,,
2010-04-29,1874.84,,,,,,,,,,,,
2010-04-30,1890.68,,,,,,,,,,,,
2010-05-03,1884.02,,,,,,,,,,,,
2010-05-04,1884.94,,,,,,,,,,,,
2010-05-06,1850.28,,,,,,,,,,,,
2010-05-07,1814.91,,,,,,,,,,,,
2010-05-10,1848.18,,,,,,,,,,,,
2010-05-11,1857.98,,,,,,,,,,,,
2010-05-12,1851.57,,,,,,,,,,,,
2010-05-13,1882.6,,,,,,,,,,,,
2010-05-14,1895.06,,,,,,,,,,,,
2010-05-17,1855.51,,,,,,,,,,,,
2010-05-18,1854.35,,,,,,,,,,,,
2010-05-19,1840.49,,,,,,,,,,,,
2010-05-20,1802.22,,,,,,,,,,,,
2010-05-24,1790.24,,,,,,,,,,,,
2010-05-25,1726.22,,,,,,,,,,,,
2010-05-26,1754.1,,,,,,,,,,,,
2010-05-27,1775.49,,,,,,,,,,,,
2010-05-28,1782.15,,,,,,,,,,,,
2010-05-31,1810.13,,,,,,,,,,,,
2010-06-01,1808.49,,,,,,,,,,,,
2010-06-03,1838.74,,,,,,,,,,,,
2010-06-04,1825.88,,,,,,,,,,,,
2010-06-07,1798.74,,,,,,,,,,,,
2010-06-08,1826.49,,,,,,,,,,,,
2010-06-09,1824.86,,,,,,,,,,,,
2010-06-10,1832.64,,,,,,,,,,,,
2010-06-11,1845.03,,,,,,,,,,,,
2010-06-14,1868.87,,,,,,,,,,,,
2010-06-15,1879.81,,,,,,,,,,,,
2010-06-16,1895.6,,,,,,,,,,,,
2010-06-17,1907.54,,,,,,,,,,,,
2010-06-18,1906.54,,,,,,,,,,,,
2010-06-21,1937.04,,,,,,,,,,,,
2010-06-22,1932.72,,,,,,,,,,,,
2010-06-23,1930.07,,,,,,,,,,,,
2010-06-24,1951.73,,,,,,,,,,,,
2010-06-25,1942.68,,,,,,,,,,,,
2010-06-28,1951.74,,,,,,,,,,,,
2010-06-29,1917.45,,,,,,,,,,,,
2010-06-30,1928.13,,,,,,,,,,,,
2010-07-01,1937.64,,,,,,,,,,,,
2010-07-02,1918.46,,,,,,,,,,,,
2010-07-05,1920.42,,,,,,,,,,,,
2010-07-06,1905.76,,,,,,,,,,,,
2010-07-07,1907.9,,,,,,,,,,,,
2010-07-08,1922.46,,,,,,,,,,,,
2010-07-09,1931.36,,,,,,,,,,,,
2010-07-12,1937.99,,,,,,,,,,,,
2010-07-13,1938.64,,,,,,,,,,,,
2010-07-14,1970.04,,,,,,,,,,,,
2010-07-15,1977.06,,,,,,,,,,,,
2010-07-16,1972.47,,,,,,,,,,,,
2010-07-19,1968.7,,,,,,,,,,,,
2010-07-20,1972.7,,,,,,,,,,,,
2010-07-21,1963.8,,,,,,,,,,,,
2010-07-22,1944.79,,,,,,,,,,,,
2010-07-23,1959.44,,,,,,,,,,,,
2010-07-26,1969.85,,,,,,,,,,,,
2010-07-27,1957.97,,,,,,,,,,,,
2010-07-28,1961.48,,,,,,,,,,,,
2010-07-29,1958.6,,,,,,,,,,,,
2010-07-30,1953.06,,,,,,,,,,,,
2010-08-02,1963.45,,,,,,,,,,,,
2010-08-03,1958.96,,,,,,,,,,,,
2010-08-04,1981.72,,,,,,,,,,,,
2010-08-05,1985.12,,,,,,,,,,,,
2010-08-06,1991.62,,,,,,,,,,,,
2010-08-09,1999.82,,,,,,,,,,,,
2010-08-10,1990.32,,,,,,,,,,,,
2010-08-11,1951.15,,,,,,,,,,,,
2010-08-12,1923.84,,,,,,,,,,,,
2010-08-13,1949.56,,,,,,,,,,,,
2010-08-16,1940.49,,,,,,,,,,,,
2010-08-17,1956.08,,,,,,,,,,,,
2010-08-18,1972.33,,,,,,,,,,,,
2010-08-19,1978.06,,,,,,,,,,,,
2010-08-20,1983.02,,,,,,,,,,,,
2010-08-23,1978.83,,,,,,,,,,,,
2010-08-24,1971.25,,,,,,,,,,,,
2010-08-25,1938.97,,,,,,,,,,,,
2010-08-26,1922.91,,,,,,,,,,,,
2010-08-27,1919.53,,,,,,,,,,,,
2010-08-30,1949.92,,,,,,,,,,,,
2010-08-31,1949.51,,,,,,,,,,,,
2010-09-01,1979.58,,,,,,,,,,,,
2010-09-02,1993.32,,,,,,,,,,,,
2010-09-03,2010.57,,,,,,,,,,,,
2010-09-06,2012.49,,,,,,,,,,,,
2010-09-07,1997.74,,,,,,,,,,,,
2010-09-08,1994.45,,,,,,,,,,,,
2010-09-09,2007.88,,,,,,,,,,,,
2010-09-10,2030.1,,,,,,,,,,,,
2010-09-13,2048.98,,,,,,,,,,,,
2010-09-14,2037.94,,,,,,,,,,,,
2010-09-15,2052.07,,,,,,,,,,,,
2010-09-16,2047.61,,,,,,,,,,,,
2010-09-17,2058.63,,,,,,,,,,,,
2010-09-20,2059.05,,,,,,,,,,,,
2010-09-24,2082.79,,,,,,,,,,,,
2010-09-27,2104.93,,,,,,,,,,,,
2010-09-28,2107.15,,,,,,,,,,,,
2010-09-29,2125.59,,,,,,,,,,,,
2010-09-30,2151.66,,,,,,,,,,,,
2010-10-01,2158.04,,,,,,,,,,,,
2010-10-04,2147.59,,,,,,,,,,,,
2010-10-05,2153.2,,,,,,,,,,,,
2010-10-06,2178.44,,,,,,,,,,,,
2010-10-07,2185.52,,,,,,,,,,,,
2010-10-08,2189.94,,,,,,,,,,,,
2010-10-11,2181.48,,,,,,,,,,,,
2010-10-12,2164.32,,,,,,,,,,,,
2010-10-13,2199.14,,,,,,,,,,,,
2010-10-14,2224.88,,,,,,,,,,,,
2010-10-15,2238.28,,,,,,,,,,,,
2010-10-18,2230.21,,,,,,,,,,,,
2010-10-19,2201.62,,,,,,,,,,,,
2010-10-20,2215.56,,,,,,,,,,,,
2010-10-21,2211.89,,,,,,,,,,,,
2010-10-22,2231.97,,,,,,,,,,,,
2010-10-25,2260.61,,,,,,,,,,,,
2010-10-26,2277.37,,,,,,,,,,,,
2010-10-27,2275.79,,,,,,,,,,,,
2010-10-28,2270.5,,,,,,,,,,,,
2010-10-29,2247.94,,,,,,,,,,,,
2010-11-01,2263.88,,,,,,,,,,,,
2010-11-02,2267.36,,,,,,,,,,,,
2010-11-03,2291.53,,,,,,,,,,,,
2010-11-04,2281.8,,,,,,,,,,,,
2010-11-05,2238.79,,,,,,,,,,,,
2010-11-08,2251.36,,,,,,,,,,,,
2010-11-09,2262.92,,,,,,,,,,,,
2010-11-10,2285.42,,,,,,,,,,,,
2010-11-11,2241.01,,,,,,,,,,,,
2010-11-12,2195.98,,,,,,,,,,,,
2010-11-15,2177.04,,,,,,,,,,,,
2010-11-16,2148.97,,,,,,,,,,,,
2010-11-17,2163.79,,,,,,,,,,,,
2010-11-18,2208.31,,,,,,,,,,,,
2010-11-19,2213.43,,,,,,,,,,,,
2010-11-22,2214.27,,,,,,,,,,,,
2010-11-23,2187.58,,,,,,,,,,,,
2010-11-24,2161.61,,,,,,,,,,,,
2010-11-25,2168.44,,,,,,,,,,,,
2010-11-26,2129.68,,,,,,,,,,,,
2010-11-29,2126.05,,,,,,,,,,,,
2010-11-30,2161.43,,,,,,,,,,,,
2010-12-01,2180.53,,,,,,,,,,,,
2010-12-02,2190.0,,,,,,,,,,,,
2010-12-03,2168.53,,,,,,,,,,,,
2010-12-06,2155.02,,,,,,,,,,,,
2010-12-07,2155.19,,,,,,,,,,,,
2010-12-08,2155.84,,,,,,,,,,,,
2010-12-09,2187.99,,,,,,,,,,,,
2010-12-10,2194.7,,,,,,,,,,,,
2010-12-13,2207.75,,,,,,,,,,,,
2010-12-14,2210.71,,,,,,,,,,,,
2010-12-15,2238.09,,,,,,,,,,,,
2010-12-16,2231.93,,,,,,,,,,,,
2010-12-17,2235.68,,,,,,,,,,,,
2010-12-20,2207.32,,,,,,,,,,,,
2010-12-21,2235.59,,,,,,,,,,,,
2010-12-22,2232.2,,,,,,,,,,,,
2010-12-23,2231.0,,,,,,,,,,,,
2010-12-24,2228.33,,,,,,,,,,,,
2010-12-27,2223.75,,,,,,,,,,,,
2010-12-28,2232.12,,,,,,,,,,,,
2010-12-29,2240.87,,,,,,,,,,,,
2010-12-30,2266.32,,,,,,,,,,,,
2011-01-03,2277.54,,,,,,,,,,,,
2011-01-04,2292.96,,,,,,,,,,,,
2011-01-05,2288.44,,,,,,,,,,,,
2011-01-06,2291.12,,,,,,,,,,,,
2011-01-07,2311.18,,,,,,,,,,,,
2011-01-10,2322.91,,,,,,,,,,,,
2011-01-11,2328.39,,,,,,,,,,,,
2011-01-12,2332.97,,,,,,,,,,,,
2011-01-13,2321.09,,,,,,,,,,,,
2011-01-14,2343.89,,,,,,,,,,,,
2011-01-17,2335.87,,,,,,,,,,,,
2011-01-18,2342.97,,,,,,,,,,,,
2011-01-19,2361.59,,,,,,,,,,,,
2011-01-20,2356.79,,,,,,,,,,,,
2011-01-21,2330.04,,,,,,,,,,,,
2011-01-24,2342.39,,,,,,,,,,,,
2011-01-25,2331.7,,,,,,,,,,,,
2011-01-26,2355.47,,,,,,,,,,,,
2011-01-27,2363.58,,,,,,,,,,,,
2011-01-28,2355.47,,,,,,,,,,,,
2011-01-31,2331.78,,,,,,,,,,,,
2011-02-01,2331.1,,,,,,,,,,,,
2011-02-07,2342.22,,,,,,,,,,,,
2011-02-08,2327.23,,,,,,,,,,,,
2011-02-09,2312.32,,,,,,,,,,,,
2011-02-10,2292.46,,,,,,,,,,,,
2011-02-11,2265.25,,,,,,,,,,,,
2011-02-14,2259.35,,,,,,,,,,,,
2011-02-15,2255.22,,,,,,,,,,,,
2011-02-16,2245.44,,,,,,,,,,,,
2011-02-17,2205.43,,,,,,,,,,,,
2011-02-18,2253.37,,,,,,,,,,,,
2011-02-21,2247.17,,,,,,,,,,,,
2011-02-22,2194.5,,,,,,,,,,,,
2011-02-23,2183.49,,,,,,,,,,,,
2011-02-24,2158.72,,,,,,,,,,,,
2011-02-25,2181.08,,,,,,,,,,,,
2011-02-28,2154.42,,,,,,,,,,,,
2011-03-02,2126.83,,,,,,,,,,,,
2011-03-03,2174.48,,,,,,,,,,,,
2011-03-04,2203.48,,,,,,,,,,,,
2011-03-07,2176.86,,,,,,,,,,,,
2011-03-08,2203.7,,,,,,,,,,,,
2011-03-09,2207.69,,,,,,,,,,,,
2011-03-10,2211.76,,,,,,,,,,,,
2011-03-11,2200.96,,,,,,,,,,,,
2011-03-14,2153.35,,,,,,,,,,,,
2011-03-15,2111.84,,,,,,,,,,,,
2011-03-16,2133.96,,,,,,,,,,,,
2011-03-17,2118.53,,,,,,,,,,,,
2011-03-18,2161.66,,,,,,,,,,,,
2011-03-21,2195.7,,,,,,,,,,,,
2011-03-22,2209.12,,,,,,,,,,,,
2011-03-23,2214.89,,,,,,,,,,,,
2011-03-24,2246.65,,,,,,,,,,,,
2011-03-25,2255.86,,,,,,,,,,,,
2011-03-28,2262.56,,,,,,,,,,,,
2011-03-29,2281.07,,,,,,,,,,,,
2011-03-30,2295.92,,,,,,,,,,,,
2011-03-31,2318.46,,,,,,,,,,,,
2011-04-01,2340.05,,,,,,,,,,,,
2011-04-04,2337.55,,,,,,,,,,,,
2011-04-05,2353.28,,,,,,,,,,,,
2011-04-06,2350.86,,,,,,,,,,,,
2011-04-07,2360.2,,,,,,,,,,,,
2011-04-08,2367.38,,,,,,,,,,,,
2011-04-11,2352.83,,,,,,,,,,,,
2011-04-12,2315.3,,,,,,,,,,,,
2011-04-13,2341.53,,,,,,,,,,,,
2011-04-14,2370.77,,,,,,,,,,,,
2011-04-15,2392.17,,,,,,,,,,,,
2011-04-18,2384.82,,,,,,,,,,,,
2011-04-19,2359.85,,,,,,,,,,,,
2011-04-20,2383.29,,,,,,,,,,,,
2011-04-21,2401.59,,,,,,,,,,,,
2011-04-22,2404.66,,,,,,,,,,,,
2011-04-25,2426.98,,,,,,,,,,,,
2011-04-26,2410.08,,,,,,,,,,,,
2011-04-27,2415.97,,,,,,,,,,,,
2011-04-28,2409.31,,,,,,,,,,,,
2011-04-29,2402.23,,,,,,,,,,,,
2011-05-02,2435.83,,,,,,,,,,,,
2011-05-03,2415.14,,,,,,,,,,,,
2011-05-04,2409.9,,,,,,,,,,,,
2011-05-06,2375.61,,,,,,,,,,,,
2011-05-09,2350.7,,,,,,,,,,,,
2011-05-11,2366.28,,,,,,,,,,,,
2011-05-12,2333.23,,,,,,,,,,,,
2011-05-13,2326.66,,,,,,,,,,,,
2011-05-16,2318.68,,,,,,,,,,,,
2011-05-17,2313.98,,,,,,,,,,,,
2011-05-18,2332.34,,,,,,,,,,,,
2011-05-19,2306.86,,,,,,,,,,,,
2011-05-20,2317.48,,,,,,,,,,,,
2011-05-23,2264.35,,,,,,,,,,,,
2011-05-24,2278.11,,,,,,,,,,,,
2011-05-25,2250.02,,,,,,,,,,,,
2011-05-26,2298.65,,,,,,,,,,,,
2011-05-27,2306.27,,,,,,,,,,,,
2011-05-30,2310.38,,,,,,,,,,,,
2011-05-31,2353.11,,,,,,,,,,,,
2011-06-01,2358.83,,,,,,,,,,,,
2011-06-02,2332.02,,,,,,,,,,,,
2011-06-03,2346.91,,,,,,,,,,,,
2011-06-07,2341.41,,,,,,,,,,,,
2011-06-08,2327.64,,,,,,,,,,,,
2011-06-09,2324.26,,,,,,,,,,,,
2011-06-10,2305.53,,,,,,,,,,,,
2011-06-13,2293.57,,,,,,,,,,,,
2011-06-14,2318.28,,,,,,,,,,,,
2011-06-15,2345.12,,,,,,,,,,,,
2011-06-16,2327.43,,,,,,,,,,,,
2011-06-17,2350.88,,,,,,,,,,,,
2011-06-20,2352.84,,,,,,,,,,,,
2011-06-21,2362.76,,,,,,,,,,,,
2011-06-22,2389.32,,,,,,,,,,,,
2011-06-23,2376.05,,,,,,,,,,,,
2011-06-24,2399.76,,,,,,,,,,,,
2011-06-27,2378.87,,,,,,,,,,,,
2011-06-28,2386.65,,,,,,,,,,,,
2011-06-29,2414.29,,,,,,,,,,,,
2011-06-30,2431.23,,,,,,,,,,,,
2011-07-01,2446.25,,,,,,,,,,,,
2011-07-04,2459.84,,,,,,,,,,,,
2011-07-05,2483.22,,,,,,,,,,,,
2011-07-06,2491.98,,,,,,,,,,,,
2011-07-07,2507.17,,,,,,,,,,,,
2011-07-08,2499.49,,,,,,,,,,,,
2011-07-11,2496.81,,,,,,,,,,,,
2011-07-12,2464.11,,,,,,,,,,,,
2011-07-13,2497.12,,,,,,,,,,,,
2011-07-14,2509.65,,,,,,,,,,,,
2011-07-15,2542.11,,,,,,,,,,,,
2011-07-18,2549.05,,,,,,,,,,,,
2011-07-19,2568.72,,,,,,,,,,,,
2011-07-20,2585.32,,,,,,,,,,,,
2011-07-21,2583.14,,,,,,,,,,,,
2011-07-22,2617.14,,,,,,,,,,,,
2011-07-25,2606.21,,,,,,,,,,,,
2011-07-26,2627.64,,,,,,,,,,,,
2011-07-27,2629.74,,,,,,,,,,,,
2011-07-28,2630.77,,,,,,,,,,,,
2011-07-29,2601.85,,,,,,,,,,,,
2011-08-01,2628.5,,,,,,,,,,,,
2011-08-02,2578.78,,,,,,,,,,,,
2011-08-03,2529.42,,,,,,,,,,,,
2011-08-04,2480.35,,,,,,,,,,,,
2011-08-05,2399.69,,,,,,,,,,,,
2011-08-08,2305.96,,,,,,,,,,,,
2011-08-09,2226.33,,,,,,,,,,,,
2011-08-10,2246.34,,,,,,,,,,,,
2011-08-11,2284.61,,,,,,,,,,,,
2011-08-12,2287.38,,,,,,,,,,,,
2011-08-16,2361.7,,,,,,,,,,,,
2011-08-17,2393.77,,,,,,,,,,,,
2011-08-18,2393.96,,,,,,,,,,,,
2011-08-19,2290.06,,,,,,,,,,,,
2011-08-22,2242.97,,,,,,,,,,,,
2011-08-23,2275.94,,,,,,,,,,,,
2011-08-24,2244.85,,,,,,,,,,,,
2011-08-25,2232.09,,,,,,,,,,,,
2011-08-26,2233.55,,,,,,,,,,,,
2011-08-29,2270.24,,,,,,,,,,,,
2011-08-30,2301.29,,,,,,,,,,,,
2011-08-31,2348.53,,,,,,,,,,,,
2011-09-01,2333.01,,,,,,,,,,,,
2011-09-02,2337.44,,,,,,,,,,,,
2011-09-05,2271.34,,,,,,,,,,,,
2011-09-06,2235.43,,,,,,,,,,,,
2011-09-07,2294.26,,,,,,,,,,,,
2011-09-08,2287.7,,,,,,,,,,,,
2011-09-09,2259.81,,,,,,,,,,,,
2011-09-14,2192.15,,,,,,,,,,,,
2011-09-15,2185.25,,,,,,,,,,,,
2011-09-16,2255.42,,,,,,,,,,,,
2011-09-19,2226.74,,,,,,,,,,,,
2011-09-20,2240.8,,,,,,,,,,,,
2011-09-21,2259.42,,,,,,,,,,,,
2011-09-22,2222.83,,,,,,,,,,,,
2011-09-23,2111.39,,,,,,,,,,,,
2011-09-26,2005.36,,,,,,,,,,,,
2011-09-27,2076.8,,,,,,,,,,,,
2011-09-28,2039.57,,,,,,,,,,,,
2011-09-29,2061.49,,,,,,,,,,,,
2011-09-30,2082.65,,,,,,,,,,,,
2011-10-04,2027.04,,,,,,,,,,,,
