날짜,Utilities,Open,High,Low,Close,Volume,거래대금,상장시가총액,open,high,low,close,volume
2010-01-04,3009.67,,,,,,,,,,,,
2010-01-05,3015.44,,,,,,,,,,,,
2010-01-06,3024.15,,,,,,,,,,,,
2010-01-07,2992.66,,,,,,,,,,,,
2010-01-08,3023.91,,,,,,,,,,,,
2010-01-11,3023.53,,,,,,,,,,,,
2010-01-12,3037.32,,,,,,,,,,,,
2010-01-13,2965.94,,,,,,,,,,,,
2010-01-14,2996.64,,,,,,,,,,,,
2010-01-15,2998.54,,,,,,,,,,,,
2010-01-18,3027.72,,,,,,,,,,,,
2010-01-19,3014.89,,,,,,,,,,,,
2010-01-20,2982.08,,,,,,,,,,,,
2010-01-21,2976.04,,,,,,,,,,,,
2010-01-22,2901.54,,,,,,,,,,,,
2010-01-25,2874.19,,,,,,,,,,,,
2010-01-26,2816.24,,,,,,,,,,,,
2010-01-27,2806.27,,,,,,,,,,,,
2010-01-28,2839.12,,,,,,,,,,,,
2010-01-29,2759.62,,,,,,,,,,,,
2010-02-01,2771.44,,,,,,,,,,,,
2010-02-02,2765.89,,,,,,,,,,,,
2010-02-03,2798.36,,,,,,,,,,,,
2010-02-04,2778.41,,,,,,,,,,,,
2010-02-05,2712.99,,,,,,,,,,,,
2010-02-08,2683.47,,,,,,,,,,,,
2010-02-09,2704.8,,,,,,,,,,,,
2010-02-10,2711.55,,,,,,,,,,,,
2010-02-11,2753.15,,,,,,,,,,,,
2010-02-12,2758.21,,,,,,,,,,,,
2010-02-16,2781.49,,,,,,,,,,,,
2010-02-17,2816.94,,,,,,,,,,,,
2010-02-18,2808.36,,,,,,,,,,,,
2010-02-19,2751.97,,,,,,,,,,,,
2010-02-22,2818.16,,,,,,,,,,,,
2010-02-23,2822.38,,,,,,,,,,,,
2010-02-24,2831.71,,,,,,,,,,,,
2010-02-25,2806.24,,,,,,,,,,,,
2010-02-26,2837.58,,,,,,,,,,,,
2010-03-02,2852.69,,,,,,,,,,,,
2010-03-03,2861.75,,,,,,,,,,,,
2010-03-04,2855.01,,,,,,,,,,,,
2010-03-05,2903.42,,,,,,,,,,,,
2010-03-08,2936.54,,,,,,,,,,,,
2010-03-09,2944.35,,,,,,,,,,,,
2010-03-10,2968.03,,,,,,,,,,,,
2010-03-11,2961.02,,,,,,,,,,,,
2010-03-12,2985.35,,,,,,,,,,,,
2010-03-15,2956.95,,,,,,,,,,,,
2010-03-16,2954.8,,,,,,,,,,,,
2010-03-17,3013.26,,,,,,,,,,,,
2010-03-18,3015.49,,,,,,,,,,,,
2010-03-19,3034.66,,,,,,,,,,,,
2010-03-22,3012.0,,,,,,,,,,,,
2010-03-23,2991.31,,,,,,,,,,,,
2010-03-24,2978.88,,,,,,,,,,,,
2010-03-25,2995.9,,,,,,,,,,,,
2010-03-26,3024.0,,,,,,,,,,,,
2010-03-29,3006.48,,,,,,,,,,,,
2010-03-30,3010.5,,,,,,,,,,,,
2010-03-31,2998.92,,,,,,,,,,,,
2010-04-01,3020.79,,,,,,,,,,,,
2010-04-02,3014.79,,,,,,,,,,,,
2010-04-05,2986.65,,,,,,,,,,,,
2010-04-06,2975.44,,,,,,,,,,,,
2010-04-07,3044.08,,,,,,,,,,,,
2010-04-08,3063.96,,,,,,,,,,,,
2010-04-09,3061.62,,,,,,,,,,,,
2010-04-12,3038.62,,,,,,,,,,,,
2010-04-13,3033.52,,,,,,,,,,,,
2010-04-14,3056.6,,,,,,,,,,,,
2010-04-15,3052.2,,,,,,,,,,,,
2010-04-16,3054.53,,,,,,,,,,,,
2010-04-19,3007.06,,,,,,,,,,,,
2010-04-20,3049.67,,,,,,,,,,,,
2010-04-21,3114.25,,,,,,,,,,,,
2010-04-22,3147.91,,,,,,,,,,,,
2010-04-23,3139.77,,,,,,,,,,,,
2010-04-26,3174.13,,,,,,,,,,,,
2010-04-27,3177.55,,,,,,,,,,,,
2010-04-28,3188.86,,,,,,,,,,,,
2010-04-29,3158.25,,,,,,,,,,,,
2010-04-30,3206.63,,,,,,,,,,,,
2010-05-03,3202.63,,,,,,,,,,,,
2010-05-04,3193.23,,,,,,,,,,,,
2010-05-06,3135.69,,,,,,,,,,,,
2010-05-07,3112.93,,,,,,,,,,,,
2010-05-10,3141.02,,,,,,,,,,,,
2010-05-11,3177.23,,,,,,,,,,,,
2010-05-12,3187.53,,,,,,,,,,,,
2010-05-13,3207.94,,,,,,,,,,,,
2010-05-14,3216.77,,,,,,,,,,,,
2010-05-17,3137.93,,,,,,,,,,,,
2010-05-18,3088.01,,,,,,,,,,,,
2010-05-19,3056.4,,,,,,,,,,,,
2010-05-20,3008.43,,,,,,,,,,,,
2010-05-24,2999.18,,,,,,,,,,,,
2010-05-25,2923.89,,,,,,,,,,,,
2010-05-26,2961.09,,,,,,,,,,,,
2010-05-27,3002.99,,,,,,,,,,,,
2010-05-28,3060.79,,,,,,,,,,,,
2010-05-31,3098.53,,,,,,,,,,,,
2010-06-01,3089.76,,,,,,,,,,,,
2010-06-03,3146.9,,,,,,,,,,,,
2010-06-04,3171.16,,,,,,,,,,,,
2010-06-07,3133.26,,,,,,,,,,,,
2010-06-08,3160.05,,,,,,,,,,,,
2010-06-09,3181.58,,,,,,,,,,,,
2010-06-10,3191.65,,,,,,,,,,,,
2010-06-11,3202.66,,,,,,,,,,,,
2010-06-14,3225.62,,,,,,,,,,,,
2010-06-15,3259.88,,,,,,,,,,,,
2010-06-16,3309.74,,,,,,,,,,,,
2010-06-17,3350.57,,,,,,,,,,,,
2010-06-18,3380.47,,,,,,,,,,,,
2010-06-21,3452.58,,,,,,,,,,,,
2010-06-22,3426.75,,,,,,,,,,,,
2010-06-23,3443.92,,,,,,,,,,,,
2010-06-24,3478.62,,,,,,,,,,,,
2010-06-25,3442.36,,,,,,,,,,,,
2010-06-28,3458.58,,,,,,,,,,,,
2010-06-29,3415.32,,,,,,,,,,,,
2010-06-30,3432.02,,,,,,,,,,,,
2010-07-01,3426.14,,,,,,,,,,,,
2010-07-02,3342.42,,,,,,,,,,,,
2010-07-05,3342.12,,,,,,,,,,,,
2010-07-06,3347.73,,,,,,,,,,,,
2010-07-07,3343.47,,,,,,,,,,,,
