날짜,Volume
2020-01-02,13138326
2020-01-03,16475883
2020-01-06,15833031
2020-01-07,9688466
2020-01-08,19965280
2020-01-09,13664720
2020-01-10,10497957
2020-01-13,16945761
2020-01-14,11395484
2020-01-15,30308291
2020-01-16,9927375
2020-01-17,8674390
2020-01-20,11017459
2020-01-21,10817286
2020-01-22,9369727
2020-01-23,5881988
2020-01-28,20939649
2020-01-29,11741190
2020-01-30,10358041
2020-01-31,13902461
2020-02-03,164113753
2020-02-04,40466769
2020-02-05,33566187
2020-02-06,12969734
2020-02-07,34216636
2020-02-10,142367877
2020-02-11,22751520
2020-02-12,20783039
2020-02-13,19918476
2020-02-14,54810761
2020-02-17,22568185
2020-02-18,14597109
2020-02-19,14348359
2020-02-20,59256020
2020-02-21,29203923
2020-02-24,218619381
2020-02-25,1013703172
2020-02-26,289877454
2020-02-27,55536313
2020-02-28,58093112
2020-03-02,54552388
2020-03-03,80002625
2020-03-04,55111711
2020-03-05,53795578
2020-03-06,68325637
2020-03-09,37955814
2020-03-10,45866972
2020-03-11,109417342
2020-03-12,48435410
2020-03-13,67964620
2020-03-16,57442369
2020-03-17,44142479
2020-03-18,45639194
2020-03-19,63383707
2020-03-20,43070330
2020-03-23,61339643
2020-03-24,57202640
2020-03-25,42502402
2020-03-26,51557714
2020-03-27,60634369
2020-03-30,53258919
2020-03-31,106968207
2020-04-01,406056202
2020-04-02,121430568
2020-04-03,72399454
2020-04-06,227136525
2020-04-07,93040316
2020-04-08,52643783
2020-04-09,108450520
2020-04-10,53914606
2020-04-13,261033529
2020-04-14,72811055
2020-04-16,33977413
2020-04-17,44103989
2020-04-20,42204826
2020-04-21,55986520
2020-04-22,30715955
2020-04-23,44397171
2020-04-24,38479161
2020-04-27,52288058
2020-04-28,70318641
2020-04-29,193246992
2020-05-04,97719377
2020-05-06,267522647
2020-05-07,154155019
2020-05-08,59743409
2020-05-11,36160001
2020-05-12,34698298
2020-05-13,39893251
2020-05-14,27883683
2020-05-15,63709975
2020-05-18,39841308
2020-05-19,26865954
2020-05-20,29972637
2020-05-21,21883411
2020-05-22,30672456
2020-05-25,24233233
2020-05-26,17988793
2020-05-27,16200340
2020-05-28,114390909
2020-05-29,79317511
2020-06-01,42469541
2020-06-02,60076378
2020-06-03,29636866
2020-06-04,24912149
2020-06-05,21108503
2020-06-08,26362629
2020-06-09,27214902
2020-06-10,17928156
2020-06-11,21933647
2020-06-12,26027059
2020-06-15,30000228
2020-06-16,21951042
2020-06-17,41469746
2020-06-18,36812637
2020-06-19,22377457
2020-06-22,90146317
2020-06-23,27353889
2020-06-24,16106242
2020-06-25,30023136
2020-06-26,20640671
2020-06-29,11663940
2020-06-30,29622819
2020-07-01,41456526
2020-07-02,41473452
2020-07-03,37304809
2020-07-06,15683982
2020-07-07,13911153
2020-07-08,16417503
2020-07-09,12545391
2020-07-10,108340107
2020-07-13,33357517
2020-07-14,119140930
2020-07-15,57233718
2020-07-16,52427591
2020-07-17,19082670
2020-07-20,18458271
2020-07-21,15964626
2020-07-22,15770076
2020-07-23,16770888
2020-07-24,19939896
2020-07-27,30417622
2020-07-28,18428379
2020-07-29,13247640
2020-07-30,11288987
2020-07-31,27904474
2020-08-03,14425291
2020-08-04,14495311
2020-08-05,11427194
2020-08-06,15124716
2020-08-07,16706282
2020-08-10,13885650
2020-08-11,10763215
2020-08-12,14992671
2020-08-13,23100588
2020-08-14,70404532
2020-08-18,26305342
2020-08-19,24383972
2020-08-20,36982555
2020-08-21,26448845
2020-08-24,25239654
2020-08-25,20146821
2020-08-26,49919492
2020-08-27,67811840
2020-08-28,137952789
2020-08-31,722082764
2020-09-01,99996925
2020-09-02,44369985
2020-09-03,35952876
2020-09-04,37886102
2020-09-07,28550445
2020-09-08,19805092
2020-09-09,16047152
2020-09-10,29389388
2020-09-11,12518491
2020-09-14,14334818
2020-09-15,15760343
2020-09-16,16151141
2020-09-17,16664300
2020-09-18,11847780
2020-09-21,68933334
2020-09-22,29248099
2020-09-23,16597357
2020-09-24,16187060
2020-09-25,24527109
2020-09-28,9295159
2020-09-29,12265256
2020-10-05,11953279
2020-10-06,13172115
2020-10-07,9661203
2020-10-08,11841672
2020-10-12,42642604
2020-10-13,12007100
2020-10-14,10431813
2020-10-15,23094867
2020-10-16,51664126
2020-10-19,17468733
2020-10-20,41090313
2020-10-21,21981319
2020-10-22,110793163
2020-10-23,85777617
2020-10-26,19072707
2020-10-27,13451223
2020-10-28,12713232
2020-10-29,11456067
2020-10-30,13202649
2020-11-02,19230219
2020-11-03,18898969
2020-11-04,14778693
2020-11-05,14641321
2020-11-06,21628168
2020-11-09,19089659
2020-11-10,12154480
2020-11-11,25128487
2020-11-12,23379683
