Date,Open,High,Low,Close,Volume
2026-03-03,157500.0,158300.0,152500.0,153500.0,2412942
2026-03-04,148300.0,149400.0,135100.0,137700.0,2845836
2026-03-05,151400.0,153100.0,146900.0,149000.0,1934617
2026-03-06,144500.0,150300.0,143200.0,147400.0,1238730
2026-03-09,132900.0,143600.0,132900.0,142600.0,1439220
2026-03-10,149700.0,150600.0,145300.0,147400.0,1371667
2026-03-11,154100.0,157700.0,149900.0,151300.0,1451829
2026-03-12,149200.0,150800.0,147500.0,149200.0,803427
2026-03-13,143200.0,150800.0,143000.0,148900.0,1424028
2026-03-16,149300.0,153200.0,147200.0,149300.0,957489
2026-03-17,150800.0,153300.0,149700.0,150700.0,947530
2026-03-18,152400.0,156300.0,152300.0,154700.0,1289740
2026-03-19,151500.0,158900.0,150800.0,155700.0,954033
2026-03-20,154200.0,158200.0,153500.0,155200.0,1114958
2026-03-23,147900.0,150300.0,144100.0,145300.0,1121082
2026-03-24,149000.0,150500.0,144100.0,146900.0,1118859
2026-03-25,2070.18,2091.77,2063.64,2069.79,126177
2026-03-26,149500.0,153400.0,149000.0,152200.0,1058672
2026-03-27,2009.95,2052.76,1981.7,2049.68,50284
2026-03-30,1961.13,1996.72,1948.8,1985.24,97008
2026-03-31,143900.0,145000.0,141400.0,141900.0,2259948
2026-04-01,2002.94,2047.78,1976.08,2040.81,192511
2026-04-02,151300.0,155300.0,144500.0,146500.0,983517
2026-04-03,2005.13,2007.65,1978.93,1981.93,154407
2026-04-06,145800.0,149500.0,145100.0,147900.0,576084
2026-04-07,146700.0,151900.0,146600.0,146700.0,684382
2026-04-08,158200.0,159100.0,155000.0,156000.0,1252002
2026-04-09,2058.29,2060.85,2018.25,2029.77,71973
2026-04-10,156000.0,159500.0,156000.0,158300.0,625014
2026-04-13,156800.0,158100.0,155300.0,156600.0,889890
2026-04-14,2074.7,2081.54,2052.07,2066.42,65392
2026-04-15,2095.21,2103.68,2067.38,2077.05,78835
2026-04-16,2101.14,2131.57,2101.14,2120.01,206486
2026-04-17,2125.79,2125.79,2087.5,2106.22,44323
2026-04-20,2115.89,2128.72,2090.22,2103.48,114625
2026-04-21,2125.02,2135.75,2111.37,2134.55,37130
2026-04-22,2122.42,2126.66,2089.89,2122.75,38731
2026-04-23,2133.1,2133.1,2068.97,2093.82,126692
2026-04-24,2082.56,2102.29,2076.31,2087.69,65159
2026-04-27,2100.27,2126.0,2076.66,2094.98,29742
2026-04-28,2093.54,2123.77,2091.35,2095.95,32478
2026-04-29,2108.16,2122.98,2096.28,2115.46,24357
2026-04-30,2112.59,2123.96,2056.98,2065.26,57316
2026-05-04,2125.45,2125.45,2079.85,2084.63,33662
2026-05-06,2068.99,2079.61,2044.52,2044.54,29207
2026-05-07,2087.75,2133.37,2087.75,2122.27,48358
2026-05-08,2121.41,2217.17,2112.3,2172.67,30907
2026-05-11,2152.9,2152.9,2108.99,2126.03,25105
2026-05-12,2172.15,2211.88,2093.8,2138.5,211296
2026-05-13,2164.57,2217.33,2123.17,2209.54,81931
2026-05-14,2219.83,2219.83,2146.26,2199.54,55308
2026-05-15,2200.23,2222.88,2090.56,2110.67,112090
2026-05-18,2094.4,2094.4,2016.41,2062.91,55873
2026-05-19,2065.23,2066.15,1973.4,2015.71,70729
