Date,Open,High,Low,Close,Volume
2026-03-03,231500.0,235500.0,223500.0,225000.0,867580
2026-03-04,214000.0,218500.0,195900.0,197400.0,1535839
2026-03-05,214000.0,216000.0,205500.0,211500.0,917410
2026-03-06,214500.0,216500.0,206500.0,212500.0,573057
2026-03-09,199900.0,204000.0,199100.0,204000.0,701450
2026-03-10,212500.0,213500.0,204000.0,206000.0,489112
2026-03-11,209500.0,214000.0,207000.0,209000.0,430951
2026-03-12,207000.0,208000.0,203000.0,206000.0,501196
2026-03-13,200500.0,208000.0,200000.0,205500.0,516104
2026-03-16,203500.0,204000.0,199500.0,200000.0,432257
2026-03-17,205500.0,208500.0,204000.0,206000.0,359729
2026-03-18,210500.0,212000.0,208000.0,209500.0,413983
2026-03-19,203000.0,205000.0,201500.0,202000.0,532994
2026-03-20,203000.0,204500.0,200500.0,202000.0,452728
2026-03-23,195000.0,195100.0,187700.0,188300.0,741755
2026-03-24,195100.0,203500.0,189300.0,199600.0,689973
2026-03-25,240.72,243.92,240.5,242.84,5519
2026-03-26,204500.0,207750.0,201500.0,203000.0,441297
2026-03-27,238.89,245.68,238.05,245.64,4525
2026-03-30,241.54,241.54,236.77,239.5,8118
2026-03-31,199500.0,202000.0,196100.0,197200.0,569975
2026-04-01,238.5,241.05,236.51,240.52,3741
2026-04-02,207000.0,208000.0,193900.0,196700.0,640427
2026-04-03,235.85,236.05,232.27,232.95,6367
2026-04-06,195200.0,198500.0,194600.0,195800.0,332661
2026-04-07,194900.0,197800.0,191600.0,193700.0,509125
2026-04-08,202000.0,205000.0,196000.0,202000.0,579000
2026-04-09,238.04,239.57,236.59,239.46,6103
2026-04-10,203000.0,203000.0,199700.0,199700.0,351666
2026-04-13,195800.0,196900.0,193600.0,195200.0,431311
2026-04-14,241.53,244.54,241.0,244.03,4930
2026-04-15,245.16,246.29,242.96,244.84,3731
2026-04-16,245.94,250.43,245.86,249.93,4254
2026-04-17,250.58,251.28,248.84,250.87,3163
2026-04-20,251.79,254.26,250.04,251.92,3627
2026-04-21,253.02,253.4,250.81,252.97,3532
2026-04-22,251.67,252.49,249.23,250.48,4091
2026-04-23,252.62,252.62,247.17,250.22,3154
2026-04-24,249.76,252.4,249.69,251.7,2682
2026-04-27,253.09,256.23,253.09,253.94,3873
2026-04-28,254.17,255.64,252.29,254.08,3672
2026-04-29,254.37,257.12,251.86,256.17,3219
2026-04-30,257.04,257.5,251.77,253.09,3687
2026-05-04,253.73,271.72,253.73,265.49,5986
2026-05-06,263.51,266.11,259.41,263.45,5799
2026-05-07,263.35,268.63,260.57,265.94,4158
2026-05-08,266.67,273.16,265.54,268.96,3132
2026-05-11,268.72,270.64,267.16,268.36,5388
2026-05-12,268.02,271.36,257.8,262.84,5205
2026-05-13,264.29,265.13,258.15,258.8,16904
2026-05-14,258.26,266.08,257.94,265.95,5687
2026-05-15,267.91,270.24,261.27,264.38,4936
2026-05-18,263.22,263.22,253.11,257.28,3659
2026-05-19,256.89,256.89,248.54,251.0,3297
