,Open,High,Low,Close,Volume
2016-01-04,,,,8440.0,20868268
2016-01-05,,,,8395.0,22368923
2016-01-06,,,,8440.0,22175493
2016-01-07,,,,8535.0,23473106
2016-01-08,,,,8465.0,28078896
2016-01-11,,,,8560.0,18870160
2016-01-12,,,,8595.0,14172831
2016-01-13,,,,8470.0,13309614
2016-01-14,,,,8555.0,19443479
2016-01-15,,,,8650.0,23278623
2016-01-18,,,,8655.0,17058841
2016-01-19,,,,8610.0,18449190
2016-01-20,,,,8810.0,20409178
2016-01-21,,,,8820.0,19812949
2016-01-22,,,,8615.0,23043311
2016-01-25,,,,8585.0,16465352
2016-01-26,,,,8690.0,20082897
2016-01-27,,,,8585.0,22216558
2016-01-28,,,,8560.0,21750323
2016-01-29,,,,8535.0,19633314
2016-02-01,,,,8495.0,13601568
2016-02-02,,,,8540.0,14576804
2016-02-03,,,,8645.0,15420597
2016-02-04,,,,8480.0,23872511
2016-02-05,,,,8460.0,13495218
2016-02-11,,,,8690.0,21746737
2016-02-12,,,,8765.0,25773704
2016-02-15,,,,8645.0,19589434
2016-02-16,,,,8520.0,22755724
2016-02-17,,,,8515.0,21447052
2016-02-18,,,,8435.0,15702120
2016-02-19,,,,8425.0,17170013
2016-02-22,,,,8400.0,17388227
2016-02-23,,,,8410.0,14967723
2016-02-24,,,,8410.0,18757208
2016-02-25,,,,8400.0,18985867
2016-02-26,,,,8395.0,11995981
2016-02-29,,,,8410.0,15273669
2016-03-02,,,,8275.0,20437935
2016-03-03,,,,8260.0,16914249
2016-03-04,,,,8250.0,16488203
2016-03-07,,,,8230.0,9586362
2016-03-08,,,,8295.0,16426298
2016-03-09,,,,8260.0,12569213
2016-03-10,,,,8200.0,22581765
2016-03-11,,,,8175.0,16705416
2016-03-14,,,,8175.0,10811913
2016-03-15,,,,8185.0,13344892
2016-03-16,,,,8160.0,15809182
2016-03-17,,,,8125.0,27015045
2016-03-18,,,,8110.0,13218338
2016-03-21,,,,8115.0,15199503
2016-03-22,,,,8085.0,11734527
2016-03-23,,,,8090.0,17200612
2016-03-24,,,,8105.0,18176922
2016-03-25,,,,8115.0,10170888
2016-03-28,,,,8105.0,11023672
2016-03-29,,,,8065.0,15959955
2016-03-30,,,,8030.0,16264320
2016-03-31,,,,8075.0,11143535
2016-04-01,,,,8170.0,17010506
2016-04-04,,,,8155.0,11446376
2016-04-05,,,,8220.0,14849152
2016-04-06,,,,8185.0,12289077
2016-04-07,,,,8185.0,11111196
2016-04-08,,,,8200.0,15083367
2016-04-11,,,,8190.0,11467726
2016-04-12,,,,8135.0,15898151
2016-04-14,,,,8015.0,27371805
2016-04-15,,,,7995.0,18036670
2016-04-18,,,,8015.0,14955602
2016-04-19,,,,8000.0,10949156
2016-04-20,,,,8030.0,18113627
2016-04-21,,,,7965.0,20297662
2016-04-22,,,,7995.0,13379747
2016-04-25,,,,8010.0,11773072
2016-04-26,,,,7975.0,19657708
2016-04-27,,,,7980.0,8138833
2016-04-28,,,,8060.0,21080562
2016-04-29,,,,8095.0,16135931
2016-05-02,,,,8140.0,11974148
2016-05-03,,,,8120.0,10246979
2016-05-04,,,,8170.0,13862167
2016-05-09,,,,8180.0,10807357
2016-05-10,,,,8145.0,12883791
2016-05-11,,,,8160.0,15191158
2016-05-12,,,,8175.0,13977451
2016-05-13,,,,8240.0,17257499
2016-05-16,,,,8235.0,12758924
2016-05-17,,,,8235.0,9047925
2016-05-18,,,,8295.0,15946276
2016-05-19,,,,8310.0,8928128
2016-05-20,,,,8305.0,12215977
2016-05-23,,,,8285.0,13151252
2016-05-24,,,,8345.0,9806511
2016-05-25,,,,8230.0,15924823
2016-05-26,,,,8235.0,8432922
2016-05-27,,,,8205.0,12985674
2016-05-30,,,,8220.0,11514479
2016-05-31,,,,8160.0,19095429
2016-06-01,,,,8155.0,12371501
2016-06-02,,,,8140.0,10449039
2016-06-03,,,,8130.0,8812910
2016-06-07,,,,8035.0,19301952
2016-06-08,,,,7995.0,18933906
2016-06-09,,,,8015.0,25580787
2016-06-10,,,,8010.0,16254795
2016-06-13,,,,8145.0,20919655
2016-06-14,,,,8160.0,24325575
2016-06-15,,,,8170.0,19694761
2016-06-16,,,,8230.0,25754507
2016-06-17,,,,8205.0,24051472
2016-06-20,,,,8095.0,19637012
2016-06-21,,,,8095.0,15873380
2016-06-22,,,,8050.0,21057600
2016-06-23,,,,8050.0,12904408
2016-06-24,,,,8305.0,104425251
2016-06-27,,,,8285.0,36819624
2016-06-28,,,,8250.0,44803729
2016-06-29,,,,8170.0,31075982
2016-06-30,,,,8145.0,21072926
2016-07-01,,,,8050.0,36634329
2016-07-04,,,,8025.0,13763135
2016-07-05,,,,8045.0,13074777
2016-07-06,,,,8195.0,40784197
2016-07-07,,,,8105.0,20803635
2016-07-08,,,,8145.0,23220268
2016-07-11,,,,8035.0,30259997
2016-07-12,,,,8045.0,23556781
2016-07-13,,,,8000.0,30181041
2016-07-14,,,,7985.0,25297151
2016-07-15,,,,7950.0,33592161
2016-07-18,,,,7925.0,20638944
2016-07-19,,,,7940.0,16536703
2016-07-20,,,,7945.0,19567146
2016-07-21,,,,7935.0,12752631
2016-07-22,,,,7940.0,16257424
2016-07-25,,,,7940.0,19464856
2016-07-26,,,,7865.0,28955456
2016-07-27,,,,7870.0,14256312
2016-07-28,,,,7890.0,16116035
2016-07-29,,,,7895.0,18738636
2016-08-01,,,,7835.0,15961888
2016-08-02,,,,7890.0,12427614
2016-08-03,,,,7975.0,23390591
2016-08-04,,,,7965.0,11380924
2016-08-05,,,,7885.0,17217597
2016-08-08,,,,7835.0,16565295
2016-08-09,,,,7780.0,24772974
2016-08-10,,,,7800.0,24733291
2016-08-11,,,,7790.0,16862945
2016-08-12,,,,7770.0,23158214
2016-08-16,,,,7765.0,13556661
2016-08-17,,,,7785.0,17664110
2016-08-18,,,,7725.0,17304958
2016-08-19,,,,7700.0,14119497
2016-08-22,,,,7745.0,12346566
2016-08-23,,,,7710.0,11597988
2016-08-24,,,,7745.0,13518693
2016-08-25,,,,7730.0,13125531
2016-08-26,,,,7750.0,16656930
2016-08-29,,,,7755.0,15611673
2016-08-30,,,,7725.0,16690990
2016-08-31,,,,7755.0,12640283
2016-09-01,,,,7770.0,17389032
2016-09-02,,,,7750.0,8209644
2016-09-05,,,,7665.0,15030250
2016-09-06,,,,7635.0,9002565
2016-09-07,,,,7645.0,10870069
2016-09-08,,,,7640.0,11223018
2016-09-09,,,,7730.0,19758665
2016-09-12,,,,7910.0,33844194
2016-09-13,,,,7885.0,19291896
2016-09-19,,,,7810.0,15182269
2016-09-20,,,,7800.0,10259488
2016-09-21,,,,7750.0,14784364
2016-09-22,,,,7685.0,18509662
2016-09-23,,,,7690.0,8270502
2016-09-26,,,,7720.0,12416353
2016-09-27,,,,7660.0,21461899
2016-09-28,,,,7690.0,7659955
2016-09-29,,,,7625.0,14299435
2016-09-30,,,,7715.0,14890424
2016-10-04,,,,7665.0,7242447
2016-10-05,,,,7670.0,13730346
2016-10-06,,,,7630.0,9654323
