날짜,Open,High,Low,Close,Volume
2016-12-27,9928,9947,9913,9947,161459
2016-12-28,9957,9962,9938,9957,162309
2016-12-29,9967,9982,9957,9962,181598
2017-01-02,9972,9972,9947,9962,147470
2017-01-03,9962,9997,9913,9928,169842
2017-01-04,9943,9957,9938,9938,147137
2017-01-05,9878,9878,9789,9789,181697
2017-01-06,9779,9843,9764,9843,146062
2017-01-09,9923,9957,9918,9957,125952
2017-01-10,9903,9928,9853,9853,149450
2017-01-11,9898,9903,9838,9838,281763
2017-01-12,9829,9829,9730,9769,223530
2017-01-13,9725,9725,9695,9695,203880
2017-01-16,9715,9759,9695,9759,148287
2017-01-17,9799,9799,9685,9685,154390
2017-01-18,9611,9630,9591,9625,158400
2017-01-19,9730,9730,9690,9720,138874
2017-01-20,9700,9705,9645,9645,163057
2017-01-23,9640,9650,9606,9606,163253
2017-01-24,9581,9606,9576,9606,149944
2017-01-25,9650,9650,9606,9606,141510
2017-01-26,9576,9591,9541,9551,148168
2017-01-31,9640,9640,9586,9586,128104
2017-02-01,9512,9561,9502,9561,137372
2017-02-02,9521,9521,9457,9467,178379
2017-02-03,9462,9472,9447,9472,162095
2017-02-06,9412,9412,9373,9393,168368
2017-02-07,9368,9452,9368,9442,148755
2017-02-08,9447,9472,9437,9457,149143
2017-02-09,9442,9472,9432,9457,151180
2017-02-10,9502,9526,9487,9487,129116
2017-02-13,9492,9526,9482,9502,147469
2017-02-14,9492,9492,9388,9388,183478
2017-02-15,9422,9447,9398,9412,148410
2017-02-16,9363,9437,9353,9412,147534
2017-02-17,9452,9472,9442,9462,164672
2017-02-20,9497,9497,9447,9477,135628
2017-02-21,9462,9482,9452,9457,139770
2017-02-22,9432,9432,9403,9432,169041
2017-02-23,9422,9427,9383,9393,155826
2017-02-24,9358,9373,9323,9338,133536
2017-02-27,9363,9368,9333,9363,137636
2017-02-28,9363,9378,9338,9343,124174
2017-03-02,9432,9442,9422,9422,135533
2017-03-03,9477,9551,9472,9551,132004
2017-03-06,9531,9576,9516,9551,123230
2017-03-07,9546,9556,9467,9477,129439
2017-03-08,9497,9497,9447,9467,141397
2017-03-09,9531,9571,9526,9571,161258
2017-03-10,9581,9586,9546,9551,243884
2017-03-13,9497,9507,9462,9462,129064
2017-03-14,9497,9497,9457,9477,140346
2017-03-15,9477,9507,9437,9457,168284
2017-03-16,9343,9373,9328,9363,154061
2017-03-17,9343,9363,9328,9353,150597
2017-03-20,9333,9338,9259,9264,169163
2017-03-21,9214,9259,9204,9244,169705
2017-03-22,9284,9308,9269,9289,135233
2017-03-23,9244,9264,9234,9264,141436
2017-03-24,9264,9294,9254,9279,153166
2017-03-27,9219,9219,9194,9199,138828
2017-03-28,9189,9204,9185,9204,198760
2017-03-29,9214,9224,9194,9214,138212
2017-03-30,9204,9244,9189,9239,128037
2017-03-31,9249,9274,9244,9249,297768
2017-04-03,9244,9244,9189,9224,247492
2017-04-04,9239,9264,9234,9264,286817
2017-04-05,9289,9298,9264,9298,286179
2017-04-06,9323,9373,9308,9358,293027
2017-04-07,9363,9412,9348,9383,294930
2017-04-10,9407,9457,9407,9447,804923
2017-04-11,9452,9512,9427,9487,303538
2017-04-12,9487,9507,9432,9432,319173
2017-04-13,9368,9407,9313,9353,323764
2017-04-14,9407,9437,9388,9422,264712
2017-04-17,9412,9412,9373,9412,296616
2017-04-18,9373,9447,9363,9437,245423
2017-04-19,9447,9452,9407,9427,265352
2017-04-20,9462,9467,9407,9417,747856
2017-04-21,9422,9427,9368,9368,272304
2017-04-24,9333,9383,9333,9353,230102
2017-04-25,9393,9398,9303,9303,203342
2017-04-26,9328,9338,9284,9313,236121
2017-04-27,9373,9373,9328,9343,404917
2017-04-28,9368,9398,9333,9398,209104
2017-05-02,9407,9407,9328,9363,225526
2017-05-04,9383,9383,9353,9368,251552
2017-05-08,9393,9407,9353,9373,237069
2017-05-10,9412,9412,9373,9393,166441
2017-05-11,9383,9388,9333,9343,227798
2017-05-12,9318,9343,9294,9333,157567
2017-05-15,9323,9333,9303,9308,120059
2017-05-16,9264,9269,9239,9244,146280
2017-05-17,9234,9289,9229,9259,142446
2017-05-18,9294,9338,9294,9318,127038
2017-05-19,9333,9368,9313,9318,148016
2017-05-22,9393,9393,9224,9264,139727
2017-05-23,9239,9298,9239,9298,145565
2017-05-24,9313,9338,9294,9333,132849
2017-05-25,9269,9279,9239,9239,149003
2017-05-26,9264,9284,9244,9269,139002
2017-05-29,9269,9289,9249,9289,138589
2017-05-30,9308,9313,9289,9308,146036
2017-05-31,9289,9313,9274,9274,146700
2017-06-01,9269,9298,9254,9289,127173
2017-06-02,9294,9303,9269,9294,130554
2017-06-05,9274,9279,9244,9264,154710
2017-06-07,9269,9308,9269,9308,133676
2017-06-08,9308,9338,9289,9289,116207
2017-06-09,9298,9318,9264,9294,143949
2017-06-12,9313,9343,9308,9338,125810
2017-06-13,9353,9363,9338,9338,134897
2017-06-14,9343,9343,9303,9303,114483
2017-06-15,9284,9318,9269,9303,127729
2017-06-16,9353,9432,9338,9403,124843
2017-06-19,9403,9403,9348,9393,138567
2017-06-20,9422,9427,9407,9417,119977
2017-06-21,9447,9487,9442,9467,158398
2017-06-22,9457,9467,9442,9452,113065
2017-06-23,9447,9467,9432,9437,129986
2017-06-26,9412,9422,9388,9422,144574
2017-06-27,9412,9437,9393,9422,114028
2017-06-28,9462,9472,9442,9467,121796
2017-06-29,9452,9462,9432,9447,132967
2017-06-30,9497,9507,9457,9487,139828
2017-07-03,9472,9521,9467,9502,54346
2017-07-04,9536,9546,9507,9546,9162
2017-07-05,9546,9546,9507,9536,6307
2017-07-06,9551,9596,9531,9596,39194
2017-07-07,9596,9596,9561,9576,12339
2017-07-10,9561,9561,9516,9541,5706
2017-07-11,9536,9546,9521,9546,3613
2017-07-12,9531,9531,9492,9492,5677
2017-07-13,9442,9452,9422,9432,10109
2017-07-14,9417,9437,9403,9412,14479
2017-07-17,9378,9378,9348,9368,17975
2017-07-18,9368,9373,9318,9328,9188
2017-07-19,9323,9323,9289,9308,21858
2017-07-20,9333,9348,9313,9348,1601
2017-07-21,9303,9328,9284,9289,11381
2017-07-24,9289,9289,9239,9254,23673
2017-07-25,9269,9289,9254,9264,8135
2017-07-26,9284,9318,9279,9313,24383
2017-07-27,9234,9249,9224,9244,16689
2017-07-28,9259,9308,9259,9308,142248
2017-07-31,9333,9333,9294,9298,14722
2017-08-01,9294,9298,9254,9294,45060
2017-08-02,9303,9343,9303,9338,3016
2017-08-03,9323,9373,9323,9373,13576
2017-08-04,9358,9363,9323,9333,3094
2017-08-07,9358,9378,9348,9368,2783
2017-08-08,9333,9353,9328,9353,3123
2017-08-09,9417,9432,9398,9427,34759
2017-08-10,9462,9492,9442,9467,35413
2017-08-11,9516,9526,9482,9482,16091
2017-08-14,9452,9472,9427,9472,9730
2017-08-16,9432,9477,9417,9467,4813
2017-08-17,9427,9452,9422,9432,2107
2017-08-18,9467,9487,9462,9482,5954
2017-08-21,9452,9467,9437,9467,4082
2017-08-22,9452,9452,9422,9422,1455
2017-08-23,9403,9403,9373,9403,1607
2017-08-24,9363,9378,9358,9378,544
2017-08-25,9378,9393,9373,9383,1918
2017-08-28,9323,9323,9298,9313,6148
2017-08-29,9373,9373,9343,9343,1792
2017-08-30,9343,9343,9318,9343,1036
2017-08-31,9343,9378,9338,9378,5625
2017-09-01,9343,9348,9328,9343,2315
2017-09-04,9393,9422,9383,9422,11048
2017-09-05,9407,9422,9393,9407,3953
2017-09-06,9407,9437,9403,9437,3589
2017-09-07,9388,9398,9378,9398,3039
2017-09-08,9373,9393,9358,9383,4571
2017-09-11,9383,9412,9363,9412,4390
2017-09-12,9393,9403,9373,9388,573
2017-09-13,9383,9383,9353,9378,1497
2017-09-14,9398,9422,9398,9407,2201
2017-09-15,9432,9442,9398,9398,1824
2017-09-18,9398,9398,9368,9373,975
2017-09-19,9368,9407,9368,9393,352
2017-09-20,9412,9412,9383,9388,1146
2017-09-21,9427,9427,9407,9422,2535
2017-09-22,9407,9467,9407,9457,10888
2017-09-25,9403,9417,9398,9417,9282
2017-09-26,9422,9462,9422,9462,2739
