date,Close,Volume
2018-03-14,4710,4989413
2018-03-15,4661,3223687
2018-03-16,4651,1114742
2018-03-19,4466,2943801
2018-03-20,4519,831890
2018-03-21,4544,460760
2018-03-22,4549,1171678
2018-03-23,4402,901850
2018-03-26,4466,395149
2018-03-27,4427,724916
2018-03-28,4407,432394
2018-03-29,4402,318966
2018-03-30,4495,376013
2018-04-02,4436,290080
2018-04-03,4417,321648
2018-04-04,4383,394369
2018-04-05,4397,257055
2018-04-06,4407,596211
2018-04-09,4397,336403
2018-04-10,4383,470939
2018-04-11,4353,441747
2018-04-12,4387,314460
2018-04-13,4412,409091
2018-04-16,4417,213604
2018-04-17,4422,179151
2018-04-18,4500,668077
2018-04-19,4505,484731
2018-04-20,4539,257547
2018-04-23,4495,330680
2018-04-24,4558,407797
2018-04-25,4510,454888
2018-04-26,4515,380551
2018-04-27,4524,459414
2018-04-30,4510,455706
2018-05-02,4451,581922
2018-05-03,4431,393589
2018-05-04,4446,528758
2018-05-08,4446,258012
2018-05-09,4407,319249
2018-05-10,4422,191453
2018-05-11,4539,620297
2018-05-14,4588,591717
2018-05-15,4573,156551
2018-05-16,4524,274023
2018-05-17,4524,273317
2018-05-18,4510,239384
2018-05-21,4515,97933
2018-05-23,4505,194882
2018-05-24,4485,367857
2018-05-25,4417,522719
2018-05-28,4436,366801
2018-05-29,4534,471122
2018-05-30,4461,300718
2018-05-31,4466,185899
2018-06-01,4475,171888
2018-06-04,4466,219398
2018-06-05,4466,276594
2018-06-07,4500,299203
2018-06-08,4475,147289
2018-06-11,4471,153848
2018-06-12,4475,159214
2018-06-14,4431,403742
2018-06-15,4407,648347
2018-06-18,4358,468948
2018-06-19,4314,349827
2018-06-20,4314,370683
2018-06-21,4280,450342
2018-06-22,4231,398366
2018-06-25,4265,285409
2018-06-26,4221,424993
2018-06-27,4202,168927
2018-06-28,4187,159388
2018-06-29,4158,269195
2018-07-02,4050,618710
2018-07-03,4036,253999
2018-07-04,4006,262427
2018-07-05,3987,344148
2018-07-06,3997,314624
2018-07-09,4011,99656
2018-07-10,4050,106169
2018-07-11,4050,179997
2018-07-12,4036,276194
2018-07-13,4065,209714
2018-07-16,4055,206572
2018-07-17,4055,180804
2018-07-18,4050,123866
2018-07-19,4021,269555
2018-07-20,3987,147908
2018-07-23,3982,93921
2018-07-24,3992,263135
2018-07-25,3997,210191
2018-07-26,4001,254548
2018-07-27,4006,124999
2018-07-30,3982,139410
2018-07-31,3997,111643
2018-08-01,4070,166106
2018-08-02,4026,160257
2018-08-03,4050,71389
2018-08-06,4060,107296
2018-08-07,4031,118701
2018-08-08,4011,201149
2018-08-09,4016,98498
2018-08-10,4001,81657
2018-08-13,3948,463353
2018-08-14,3962,140380
2018-08-16,3933,123895
2018-08-17,3962,100557
2018-08-20,3992,118573
2018-08-21,4031,122810
2018-08-22,4036,67687
2018-08-23,4036,74458
2018-08-24,4045,77302
2018-08-27,4241,1123151
2018-08-28,4295,367315
2018-08-29,4295,267955
2018-08-30,4329,236950
2018-08-31,4324,152867
2018-09-03,4290,144590
2018-09-04,4300,146522
2018-09-05,4295,220231
2018-09-06,4270,327921
2018-09-07,4265,152822
2018-09-10,4256,129292
2018-09-11,4241,183890
2018-09-12,4256,174297
2018-09-13,4246,266823
2018-09-14,4265,149418
2018-09-17,4275,163798
2018-09-18,4246,412786
2018-09-19,4236,265081
2018-09-20,4236,278472
2018-09-21,4168,2464148
2018-09-27,4172,373870
2018-09-28,4168,118551
2018-10-01,4177,114047
2018-10-02,4163,234002
2018-10-04,4104,194301
2018-10-05,4104,169098
2018-10-08,4055,132077
2018-10-10,3953,417585
2018-10-11,3816,576951
2018-10-12,3835,339318
2018-10-15,3772,300840
2018-10-16,3786,184204
2018-10-17,3811,147152
2018-10-18,3777,124718
2018-10-19,3777,105447
2018-10-22,3742,288311
2018-10-23,3694,252730
2018-10-24,3703,150724
2018-10-25,3650,330291
2018-10-26,3586,420607
2018-10-29,3527,472614
2018-10-30,3518,337487
2018-10-31,3503,263919
2018-11-01,3552,177529
2018-11-02,3698,339425
2018-11-05,3684,109257
2018-11-06,3718,139120
2018-11-07,3718,226702
2018-11-08,3762,130376
2018-11-09,3713,105134
2018-11-12,3698,101366
2018-11-13,3645,142745
2018-11-14,3620,110142
2018-11-15,3611,175565
2018-11-16,3606,103484
2018-11-19,3591,268552
2018-11-20,3567,186332
2018-11-21,3567,178883
2018-11-22,3557,142263
2018-11-23,3581,110296
2018-11-26,3606,142181
2018-11-27,3611,79574
2018-11-28,3625,104189
2018-11-29,3689,237250
2018-11-30,3669,111239
2018-12-03,3742,123561
2018-12-04,3738,97131
2018-12-05,3723,104363
2018-12-06,3669,147780
2018-12-07,3655,194846
2018-12-10,3620,123625
2018-12-11,3611,91302
2018-12-12,3620,211882
2018-12-13,3625,196302
2018-12-14,3640,231601
2018-12-17,3630,236705
2018-12-18,3625,138655
2018-12-19,3620,197116
2018-12-20,3591,476255
2018-12-21,3664,479610
2018-12-24,3698,293967
2018-12-26,3659,535807
2018-12-27,3542,415601
2018-12-28,3469,858925
2019-01-02,3415,351925
2019-01-03,3415,309088
2019-01-04,3400,81089
2019-01-07,3459,304018
2019-01-08,3400,219899
2019-01-09,3430,216721
2019-01-10,3405,181167
2019-01-11,3371,360566
2019-01-14,3352,261222
2019-01-15,3430,362720
2019-01-16,3479,384079
2019-01-17,3474,153678
2019-01-18,3552,255646
2019-01-21,3547,142110
2019-01-22,3532,196112
2019-01-23,3586,313327
2019-01-24,3650,305945
2019-01-25,3664,163757
2019-01-28,3630,81510
2019-01-29,3625,129295
2019-01-30,3620,180172
2019-01-31,3659,353199
2019-02-01,3625,174258
2019-02-07,3694,327554
2019-02-08,3640,138960
2019-02-11,3630,137474
2019-02-12,3645,110196
2019-02-13,3620,151708
2019-02-14,3625,150620
2019-02-15,3591,438779
2019-02-18,3640,176996
2019-02-19,3601,200837
2019-02-20,3625,305617
2019-02-21,3615,93481
2019-02-22,3601,77694
2019-02-25,3611,128981
2019-02-26,3615,164690
2019-02-27,3625,132587
2019-02-28,3620,258681
2019-03-04,3645,229928
2019-03-05,3615,227455
2019-03-06,3630,139742
2019-03-07,3615,122693
2019-03-08,3581,693456
2019-03-11,3571,158088
2019-03-12,3571,271512
2019-03-13,3581,161292
2019-03-14,3596,143738
2019-03-15,3669,452934
2019-03-18,3669,195435
2019-03-19,3674,130015
2019-03-20,3650,129298
2019-03-21,3655,159167
2019-03-22,3659,135399
2019-03-25,3596,171466
2019-03-26,3596,229199
2019-03-27,3586,187311
2019-03-28,3562,217890
2019-03-29,3615,143201
2019-04-01,3640,202619
2019-04-02,3689,325579
2019-04-03,3733,500953
2019-04-04,3733,197115
2019-04-05,3791,437314
2019-04-08,3801,221169
2019-04-09,3782,249096
2019-04-10,3796,275947
2019-04-11,3806,219524
2019-04-12,3816,215170
2019-04-15,3889,588822
2019-04-16,3870,279263
2019-04-17,3909,551880
2019-04-18,3874,308713
2019-04-19,3913,379639
2019-04-22,3918,376922
2019-04-23,3894,214585
2019-04-24,3884,321881
2019-04-25,3904,170467
2019-04-26,3870,220403
2019-04-29,3889,134575
2019-04-30,3879,162764
2019-05-02,3879,177607
2019-05-03,3874,114651
2019-05-07,3821,210895
2019-05-08,3826,134751
2019-05-09,3782,226367
2019-05-10,3757,166022
2019-05-13,3747,102178
2019-05-14,3752,137381
2019-05-15,3762,117629
2019-05-16,3742,114520
2019-05-17,3752,205100
2019-05-20,3718,144500
2019-05-21,3728,147260
2019-05-22,3713,145614
2019-05-23,3689,56705
2019-05-24,3713,128219
2019-05-27,3703,171447
2019-05-28,3738,177322
2019-05-29,3674,184267
2019-05-30,3703,166143
2019-05-31,3679,294777
2019-06-03,3684,104504
2019-06-04,3694,168057
2019-06-05,3728,130563
2019-06-07,3713,175563
2019-06-10,3723,211873
2019-06-11,3762,229447
2019-06-12,3791,213361
2019-06-13,3796,165620
2019-06-14,3811,117383
2019-06-17,3845,242642
2019-06-18,3850,173896
2019-06-19,3874,356241
2019-06-20,3884,152388
2019-06-21,3933,738141
2019-06-24,4006,672801
2019-06-25,3992,479922
2019-06-26,3987,275182
2019-06-27,4045,410634
2019-06-28,4050,198644
2019-07-01,4036,192290
2019-07-02,4031,207054
2019-07-03,3938,254080
2019-07-04,3982,102857
2019-07-05,3948,114669
2019-07-08,3855,182546
2019-07-09,3840,326717
2019-07-10,3894,270649
2019-07-11,3928,159751
2019-07-12,3938,219133
2019-07-15,3918,154378
2019-07-16,3957,277848
2019-07-17,3962,215331
2019-07-18,3913,148941
2019-07-19,3967,161161
2019-07-22,3953,220266
2019-07-23,4016,270056
2019-07-24,4011,225566
2019-07-25,3938,288208
2019-07-26,3904,304306
2019-07-29,3826,300595
2019-07-30,3826,108023
2019-07-31,3850,129268
2019-08-01,3811,120174
2019-08-02,3738,278217
2019-08-05,3615,429526
2019-08-06,3581,256116
2019-08-07,3596,220210
2019-08-08,3689,221635
2019-08-09,3830,383992
2019-08-12,3806,155979
2019-08-13,3752,139956
2019-08-14,3782,130341
2019-08-16,3723,188182
2019-08-19,3782,160849
2019-08-20,3884,467203
2019-08-21,3913,199538
2019-08-22,3918,343505
2019-08-23,3909,184384
2019-08-26,3840,125932
2019-08-27,3835,149063
2019-08-28,3874,157923
2019-08-29,3909,419802
2019-08-30,3997,272809
2019-09-02,4031,292725
2019-09-03,3992,576574
2019-09-04,4026,211974
2019-09-05,4036,190104
2019-09-06,4036,69703
2019-09-09,4026,160743
2019-09-10,4060,126289
2019-09-11,4089,263438
2019-09-16,4187,436459
2019-09-17,4241,393741
2019-09-18,4241,215807
2019-09-19,4158,173017
2019-09-20,4251,203948
2019-09-23,4207,121774
2019-09-24,4187,202416
2019-09-25,4143,281130
2019-09-26,4138,112673
2019-09-27,4124,80242
2019-09-30,4133,115253
2019-10-01,4143,124116
2019-10-02,4114,242745
2019-10-04,4089,110495
2019-10-07,4089,145094
2019-10-08,4133,146243
2019-10-10,4104,147039
2019-10-11,4133,48101
2019-10-14,4163,120968
2019-10-15,4133,99804
2019-10-16,4138,105736
2019-10-17,4124,63115
2019-10-18,4085,108963
2019-10-21,4036,144831
2019-10-22,4060,157262
2019-10-23,4050,80717
2019-10-24,4036,89475
2019-10-25,4045,38354
2019-10-28,4060,81732
2019-10-29,4036,83696
2019-10-30,4021,120658
2019-10-31,4026,137619
2019-11-01,4021,59231
2019-11-04,4163,459703
2019-11-05,4202,172025
2019-11-06,4168,160611
2019-11-07,4163,111135
2019-11-08,4226,308700
2019-11-11,4143,257557
2019-11-12,4124,100595
2019-11-13,4109,138744
2019-11-14,4099,104901
2019-11-15,4163,153830
2019-11-18,4138,103362
2019-11-19,4138,90671
2019-11-20,4124,81210
2019-11-21,4085,121218
2019-11-22,4119,66886
2019-11-25,4163,87347
2019-11-26,4168,132353
2019-11-27,4187,224363
2019-11-28,4202,85102
2019-11-29,4168,52680
2019-12-02,4172,88530
2019-12-03,4168,114937
2019-12-04,4163,213216
2019-12-05,4168,134190
2019-12-06,4153,168986
2019-12-09,4148,65938
2019-12-10,4153,124770
2019-12-11,4138,167356
2019-12-12,4168,225982
2019-12-13,4226,681907
2019-12-16,4212,197745
2019-12-17,4212,327827
2019-12-18,4192,262803
2019-12-19,4202,203865
2019-12-20,4212,594122
2019-12-23,4202,238168
2019-12-24,4192,468704
2019-12-26,4202,777010
2019-12-27,4050,515672
2019-12-30,4006,329248
2020-01-02,3938,245289
2020-01-03,3943,171030
2020-01-06,3899,158833
2020-01-07,3894,397640
2020-01-08,3806,479748
2020-01-09,3811,150667
2020-01-10,3865,128067
2020-01-13,3904,175879
2020-01-14,3933,312973
2020-01-15,3938,102838
2020-01-16,3943,149542
2020-01-17,3943,206214
2020-01-20,3923,263028
2020-01-21,3899,143721
2020-01-22,3909,112845
2020-01-23,3860,177178
2020-01-28,3767,270436
2020-01-29,3786,100638
2020-01-30,3742,162635
2020-01-31,3703,197165
2020-02-03,3694,204417
2020-02-04,3689,222031
2020-02-05,3708,195584
2020-02-06,3786,297714
2020-02-07,3762,136955
2020-02-10,3767,110915
2020-02-11,3772,145637
2020-02-12,3762,162662
2020-02-13,3752,95462
2020-02-14,3742,54457
2020-02-17,3723,181629
2020-02-18,3723,147127
2020-02-19,3713,94855
2020-02-20,3723,231902
