date,Open,High,Low,Close,Volume
2016-01-04,8285.0,8440.0,8285.0,8440.0,20868268
2016-01-05,8445.0,8450.0,8350.0,8395.0,22368923
2016-01-06,8385.0,8490.0,8375.0,8440.0,22175493
2016-01-07,8475.0,8555.0,8435.0,8535.0,23473106
2016-01-08,8595.0,8600.0,8455.0,8465.0,28078896
2016-01-11,8575.0,8595.0,8530.0,8560.0,18870160
2016-01-12,8515.0,8615.0,8505.0,8595.0,14172831
2016-01-13,8545.0,8560.0,8460.0,8470.0,13309614
2016-01-14,8580.0,8640.0,8555.0,8555.0,19443479
2016-01-15,8475.0,8680.0,8460.0,8650.0,23278623
2016-01-18,8735.0,8770.0,8640.0,8655.0,17058841
2016-01-19,8660.0,8735.0,8610.0,8610.0,18449190
2016-01-20,8645.0,8865.0,8645.0,8810.0,20409178
2016-01-21,8760.0,8830.0,8725.0,8820.0,19812949
2016-01-22,8735.0,8745.0,8615.0,8615.0,23043311
2016-01-25,8590.0,8640.0,8550.0,8585.0,16465352
2016-01-26,8645.0,8745.0,8635.0,8690.0,20082897
2016-01-27,8625.0,8640.0,8565.0,8585.0,22216558
2016-01-28,8640.0,8675.0,8550.0,8560.0,21750323
2016-01-29,8580.0,8635.0,8535.0,8535.0,19633314
2016-02-01,8495.0,8525.0,8450.0,8495.0,13601568
2016-02-02,8525.0,8560.0,8495.0,8540.0,14576804
2016-02-03,8635.0,8685.0,8630.0,8645.0,15420597
2016-02-04,8590.0,8605.0,8480.0,8480.0,23872511
2016-02-05,8505.0,8510.0,8450.0,8460.0,13495218
2016-02-11,8645.0,8715.0,8645.0,8690.0,21746737
2016-02-12,8740.0,8820.0,8710.0,8765.0,25773704
2016-02-15,8675.0,8700.0,8630.0,8645.0,19589434
2016-02-16,8640.0,8645.0,8510.0,8520.0,22755724
2016-02-17,8540.0,8560.0,8480.0,8515.0,21447052
2016-02-18,8410.0,8450.0,8405.0,8435.0,15702120
2016-02-19,8460.0,8460.0,8420.0,8425.0,17170013
2016-02-22,8440.0,8460.0,8385.0,8400.0,17388227
2016-02-23,8360.0,8430.0,8355.0,8410.0,14967723
2016-02-24,8420.0,8455.0,8390.0,8410.0,18757208
2016-02-25,8390.0,8435.0,8340.0,8400.0,18985867
2016-02-26,8355.0,8405.0,8345.0,8395.0,11995981
2016-02-29,8415.0,8430.0,8365.0,8410.0,15273669
2016-03-02,8305.0,8315.0,8265.0,8275.0,20437935
2016-03-03,8260.0,8275.0,8250.0,8260.0,16914249
2016-03-04,8265.0,8270.0,8235.0,8250.0,16488203
2016-03-07,8235.0,8245.0,8220.0,8230.0,9586362
2016-03-08,8225.0,8315.0,8225.0,8295.0,16426298
2016-03-09,8310.0,8325.0,8260.0,8260.0,12569213
2016-03-10,8240.0,8260.0,8185.0,8200.0,22581765
2016-03-11,8215.0,8220.0,8160.0,8175.0,16705416
2016-03-14,8135.0,8190.0,8130.0,8175.0,10811913
2016-03-15,8175.0,8210.0,8155.0,8185.0,13344892
2016-03-16,8175.0,8180.0,8135.0,8160.0,15809182
2016-03-17,8130.0,8135.0,8070.0,8125.0,27015045
2016-03-18,8100.0,8135.0,8090.0,8110.0,13218338
2016-03-21,8090.0,8145.0,8070.0,8115.0,15199503
2016-03-22,8105.0,8120.0,8085.0,8085.0,11734527
2016-03-23,8085.0,8100.0,8055.0,8090.0,17200612
2016-03-24,8115.0,8140.0,8085.0,8105.0,18176922
2016-03-25,8100.0,8125.0,8090.0,8115.0,10170888
2016-03-28,8120.0,8120.0,8085.0,8105.0,11023672
2016-03-29,8105.0,8105.0,8055.0,8065.0,15959955
2016-03-30,8035.0,8040.0,8010.0,8030.0,16264320
2016-03-31,8020.0,8090.0,8015.0,8075.0,11143535
2016-04-01,8080.0,8170.0,8070.0,8170.0,17010506
2016-04-04,8165.0,8185.0,8145.0,8155.0,11446376
2016-04-05,8180.0,8240.0,8175.0,8220.0,14849152
2016-04-06,8225.0,8235.0,8175.0,8185.0,12289077
2016-04-07,8160.0,8220.0,8145.0,8185.0,11111196
2016-04-08,8235.0,8270.0,8195.0,8200.0,15083367
2016-04-11,8200.0,8240.0,8185.0,8190.0,11467726
2016-04-12,8200.0,8205.0,8135.0,8135.0,15898151
2016-04-14,8045.0,8050.0,8010.0,8015.0,27371805
2016-04-15,8000.0,8010.0,7985.0,7995.0,18036670
2016-04-18,8040.0,8060.0,8010.0,8015.0,14955602
2016-04-19,7985.0,8010.0,7970.0,8000.0,10949156
2016-04-20,7990.0,8030.0,7955.0,8030.0,18113627
2016-04-21,7990.0,8005.0,7960.0,7965.0,20297662
2016-04-22,7990.0,8010.0,7975.0,7995.0,13379747
2016-04-25,7995.0,8035.0,7990.0,8010.0,11773072
2016-04-26,8010.0,8020.0,7960.0,7975.0,19657708
