ticker,ask_price_1,ask_vol_1,ask_price_2,ask_vol_2,ask_price_3,ask_vol_3,ask_price_4,ask_vol_4,ask_price_5,ask_vol_5,bid_price_1,bid_vol_1,bid_price_2,bid_vol_2,bid_price_3,bid_vol_3,bid_price_4,bid_vol_4,bid_price_5,bid_vol_5,total_ask_vol,total_bid_vol,order_imbalance,spread,spread_pct,bid_depth_ratio,timestamp
207940,1456000,27,1457000,72,1458000,21,1459000,63,1460000,79,1455000,13,1454000,5,1453000,108,1452000,82,1451000,137,262,345,0.1367380560109269,1000,0.0687285223367693,0.0376811594191976,2026-05-12 09:00:12
207940,1471000,38,1472000,64,1473000,70,1474000,55,1475000,170,1470000,28,1469000,51,1468000,15,1467000,5,1466000,2,397,101,-0.5943775100282254,1000,0.0680272108843532,0.2772277227448289,2026-05-12 09:19:37
207940,1465000,77,1466000,22,1467000,24,1468000,22,1469000,12,1463000,63,1462000,68,1461000,69,1460000,175,1459000,43,157,418,0.4539130434703667,2000,0.1367053998632936,0.1507177033456766,2026-05-12 09:31:14
207940,1465000,162,1466000,66,1467000,5,1468000,25,1469000,17,1464000,66,1463000,71,1462000,141,1461000,68,1460000,193,275,539,0.32432432432034,1000,0.0683060109289612,0.1224489795895649,2026-05-12 09:52:57
207940,1468000,79,1469000,239,1470000,705,1471000,59,1472000,12,1467000,39,1466000,2,1465000,157,1464000,173,1463000,30,1094,401,-0.4635451504985716,1000,0.068166325835037,0.0972568578529362,2026-05-12 10:02:29
207940,1464000,9,1465000,64,1466000,67,1467000,137,1468000,356,1463000,58,1462000,21,1461000,92,1460000,170,1459000,99,633,440,-0.1798695246954346,1000,0.0683526999316468,0.1318181818151859,2026-05-12 10:15:56
207940,1448000,91,1449000,3,1450000,25,1451000,30,1452000,13,1447000,7,1446000,420,1445000,198,1444000,84,1443000,56,162,765,0.6504854368861868,1000,0.069108500345542,0.009150326797266,2026-05-12 10:26:36
207940,1424000,24,1425000,57,1426000,34,1427000,5,1428000,2,1423000,93,1422000,116,1421000,250,1420000,571,1419000,102,122,1132,0.805422647521488,1000,0.0702740688685869,0.0821554770310763,2026-05-12 10:50:26
207940,1434000,36,1435000,25,1436000,21,1437000,30,1438000,27,1433000,27,1432000,1,1431000,56,1430000,176,1429000,26,139,286,0.345882352933038,1000,0.0697836706210741,0.0944055944022935,2026-05-12 11:14:25
207940,1442000,18,1445000,15,1446000,1,1447000,21,1448000,7,1441000,13,1440000,81,1439000,14,1438000,38,1437000,22,62,168,0.4608695651973535,1000,0.0693962526023589,0.0773809523763463,2026-05-12 11:29:59
207940,1440000,82,1441000,3,1442000,22,1443000,2,1444000,9,1439000,39,1438000,29,1437000,55,1436000,34,1435000,188,118,345,0.4902807775272077,1000,0.0694927032661565,0.1130434782575929,2026-05-12 11:42:59
207940,1443000,15,1444000,10,1445000,31,1446000,16,1447000,12,1442000,10,1441000,88,1440000,137,1439000,87,1438000,45,84,367,0.6274944567488361,1000,0.0693481276005543,0.0272479564025273,2026-05-12 11:55:01
207940,1439000,105,1440000,50,1441000,22,1442000,19,1443000,8,1438000,51,1437000,55,1436000,309,1435000,245,1434000,45,204,705,0.5511551155054878,1000,0.0695410292072317,0.0723404255308887,2026-05-12 12:06:59
207940,1438000,93,1439000,65,1440000,16,1441000,1,1442000,12,1437000,44,1436000,1,1435000,3,1434000,17,1433000,50,187,115,-0.2384105960185956,1000,0.0695894224077935,0.3826086956189036,2026-05-12 12:17:56
207940,1436000,25,1437000,50,1438000,43,1439000,38,1440000,34,1435000,205,1434000,29,1433000,13,1432000,56,1431000,65,190,368,0.3189964157648925,1000,0.0696864111498253,0.5570652173761667,2026-05-12 12:29:47
207940,1443000,8,1444000,1,1445000,33,1446000,1,1447000,6,1441000,4,1440000,37,1439000,11,1438000,30,1437000,6,49,88,0.2846715328259364,2000,0.1387925052047179,0.0454545454493801,2026-05-12 12:42:30
207940,1444000,21,1445000,32,1446000,5,1447000,10,1448000,5,1441000,11,1440000,35,1439000,47,1438000,12,1437000,10,73,115,0.2234042553072657,3000,0.208188757807077,0.0956521739047259,2026-05-12 12:54:59
207940,1445000,24,1446000,52,1447000,4,1448000,17,1449000,14,1444000,18,1441000,14,1440000,51,1439000,47,1438000,20,111,150,0.1494252873505967,1000,0.0692520775623263,0.1199999999919999,2026-05-12 13:07:58
207940,1443000,343,1444000,4,1445000,1,1446000,39,1447000,8,1442000,19,1441000,6,1440000,64,1439000,35,1438000,47,395,171,-0.3957597173074954,1000,0.0693481276005543,0.1111111111046133,2026-05-12 13:20:30
207940,1444000,24,1445000,22,1446000,58,1447000,10,1448000,25,1443000,12,1442000,13,1441000,30,1440000,82,1439000,460,139,597,0.6222826086871972,1000,0.0693000693000688,0.0201005025122261,2026-05-12 13:32:05
207940,1440000,167,1441000,53,1442000,5,1443000,16,1444000,19,1439000,1,1438000,45,1437000,68,1436000,77,1435000,268,260,459,0.276773296240935,1000,0.0694927032661565,0.0021786492374253,2026-05-12 14:11:08
207940,1441000,16,1442000,1,1443000,14,1444000,33,1445000,10,1440000,36,1439000,13,1438000,103,1437000,98,1436000,140,74,390,0.6810344827439432,1000,0.0694444444444439,0.0923076923053254,2026-05-12 14:24:15
207940,1436000,15,1437000,53,1438000,78,1439000,11,1440000,60,1435000,298,1434000,125,1433000,132,1432000,91,1431000,206,217,852,0.5940130963461739,1000,0.0696864111498253,0.3497652582118572,2026-05-12 14:37:54
207940,1443000,2,1444000,166,1445000,36,1446000,23,1447000,10,1441000,2,1440000,106,1439000,19,1438000,5,1437000,37,237,169,-0.1674876847249387,2000,0.1387925052047179,0.0118343195259269,2026-05-12 14:50:25
207940,1441000,93,1442000,30,1443000,12,1444000,147,1445000,36,1440000,69,1439000,2,1438000,18,1437000,52,1436000,53,318,194,-0.2421874999952697,1000,0.0694444444444439,0.3556701030744499,2026-05-12 15:02:51
207940,1443000,1,1444000,52,1445000,37,1446000,2,1447000,25,1442000,56,1441000,13,1440000,114,1439000,29,1438000,29,117,241,0.3463687150741237,1000,0.0693481276005543,0.232365145218574,2026-05-12 15:13:57
207940,1433000,6,1440000,4,1442000,691,0,0,0,0,1430000,636,1429000,91,1428000,45,0,0,0,0,701,772,0.04820095044094908,3000,0.20979020979020832,0.8238341968805203,2026-05-12 15:24:39
