,000100,000120,000150,000155,000240,000250,000270,000500,000660,000720,000810,000880,000990,001040,001120,001430,001440,001450,001570,001720,001800,002380,002790,003090,003230,003380,003490,003530,003540,003550,003570,003670,003690,004020,004170,004370,004800,004990,005070,005290,005380,005385,005387,005440,005490,005830,005850,005930,005935,005940,006040,006260,006280,006360,006400,006800,00680K,007070,007310,007340,007660,008770,008930,009150,009240,009420,009540,009830,009970,010060,010120,010130,010140,010950,011070,011170,011200,011210,011780,011790,012330,012450,012510,012630,012750,014680,015760,016360,017670,017800,017960,018260,018670,018880,020150,020560,021240,022100,023530,023590,024110,024720,026960,028050,028260,028300,028670,029780,030000,030200,030530,030610,031210,031980,032350,032640,032820,032830,033780,034020,034220,034230,034730,035250,035420,035720,035760,035900,036460,036570,036930,038500,039030,039200,039490,041510,042660,042700,043260,044820,047040,047050,047810,048410,051600,051900,051910,052690,055550,058470,058610,060310,060370,062040,064350,064400,064760,065350,066570,066970,067310,068270,068760,069500,069620,069960,071050,071970,073240,077970,078340,078600,078930,079550,080220,081660,082270,082740,083650,084370,085620,085660,086280,086520,086790,087010,088350,088980,089030,090430,090460,090710,091160,091170,091180,091220,091230,095340,096770,097230,097950,098460,099320
0,113500,81200,265500,139000,13880,149000,84500,43750,171800,38200,348500,41950,39850,117900,25400,15710,11220,20400,0,75300,16520,238000,20900,19690,929000,5610,20200,3155,16630,62200,32850,119225,7730,22650,143400,406000,48750,20850,37900,26800,181500,138400,138900,5150,251500,84100,30050,54500,45450,13100,41050,121500,117200,16340,177000,9289,4021,14120,400000,22650,30800,38000,27650,119400,38050,27000,225000,20350,89600,63700,33500,683000,14560,50900,135300,58800,19140,41000,112200,90327,235000,769055,60600,17340,61850,109300,23800,44000,57200,68700,18740,115100,236000,3118,21550,9510,75900,23650,62000,20000,14380,9430,24800,18980,113100,55300,3260,40050,17700,48450,3930,5840,32150,33500,9200,11080,1810,78700,108500,23250,7980,11940,120100,15450,182100,37800,55000,59500,35850,137500,33600,2985,112200,30450,114200,107000,76500,63500,1012,10490,3190,52100,80100,5390,39500,312500,216500,56400,46900,0,22650,2345,13165,50500,106600,50700,81400,57600,68900,59400,10430,152668,46530,32203,128700,55600,70100,33500,4420,21750,38550,81200,36300,286000,12190,35050,32650,24500,19920,32850,4900,10390,110900,47750,57000,151300,2440,11130,28300,111000,12050,2030,28173,7949,16572,8320,29059,46750,93300,7600,237500,12980,43650
1,114600,81300,277000,145300,14000,151000,84600,48000,172800,38650,350000,43500,40050,118700,25450,16100,11400,20550,0,75900,16500,240000,21250,19590,935000,5610,20200,3155,16780,62500,33500,120582,7810,22550,145500,405000,49350,20900,38300,26800,181200,139400,139800,5140,250500,84300,30300,54900,45300,13120,40100,119900,118700,16450,178500,9269,4021,14060,401000,22800,32150,38000,27800,120400,38100,27100,223000,21700,89300,64900,35620,677000,14370,51400,138100,59400,19320,41800,114300,91079,237500,795641,60700,17600,62400,109100,23800,44450,57600,68600,18370,115400,236500,3127,21800,9570,75700,23700,62200,20200,14410,9330,24950,19010,113300,54400,3320,40050,17860,48800,3965,5890,32750,33450,9520,11100,1963,79100,109200,25000,8000,12080,120700,15450,184000,38100,55600,61600,35900,137200,34100,3020,112800,30200,116300,113900,76900,67200,1042,10450,3245,50800,80000,5540,40100,310000,218000,58300,47100,0,22850,2200,13418,50700,114000,50550,81500,58900,69400,59300,10500,150645,45892,32452,130000,55600,70300,33150,4410,21850,38750,80500,36650,286500,12480,35300,33900,24650,20550,32850,4920,10420,112500,47500,57600,166800,2460,11130,29650,114200,12270,2005,28513,7984,16635,8372,29515,47500,93000,7580,237000,12980,43250
2,114900,83000,289000,153400,14080,144200,87000,48500,174500,38700,348500,43600,40550,111400,25500,16260,11430,20800,0,76300,16540,235000,21200,19580,936000,5630,20350,3225,16880,62500,32800,120582,7860,22600,152000,403000,49500,20900,38000,27450,185500,142300,142600,5160,250000,84700,31250,55100,45550,13410,41550,119600,118000,16530,176700,9349,4065,13850,401000,22750,33050,38000,27650,120200,39000,26950,217500,22350,90600,63700,34320,675000,13920,51800,138800,59600,18810,41900,114700,91361,241500,800565,62100,17800,63000,110200,24350,45050,57600,68200,17970,116000,232500,3155,21850,9500,77100,23700,64100,20350,14580,9170,25150,18980,113600,53300,3300,40450,18130,49200,4060,6040,33600,34250,9600,11340,1942,79100,109300,25600,8140,12100,124700,15620,187200,38750,55100,62200,36400,135200,34500,3145,114500,30100,119100,111600,76600,73900,1055,10600,3270,50400,79800,5525,41950,309500,215500,63400,47650,0,22950,2220,13401,50500,111500,51800,82100,59400,69500,59400,10740,150838,45892,32634,129500,56700,71000,32200,4450,21350,38200,79800,36750,285000,12670,34700,33400,24200,21250,33150,4945,10640,113300,47350,58900,172900,2480,11190,30950,113800,12300,1986,29041,8103,16877,8482,29994,48400,92200,7470,237500,13090,43650
3,114300,82700,281500,151300,14160,136100,86600,47450,173300,38050,353000,43250,40050,112900,25250,16770,11310,20450,0,77000,16900,236000,21000,19720,950000,5680,20200,3255,17120,62700,33750,119515,7850,22700,152900,403000,49350,21100,37250,29050,185200,142000,141800,5140,250500,85600,30800,54700,45450,13490,42200,117500,118500,16530,176200,9757,4138,13930,400500,22850,33050,37850,27550,119200,39050,27125,222000,22950,90900,65000,34380,675000,13840,51800,138400,60300,18970,41600,114900,88166,240000,810412,61100,17980,63000,113100,24900,45800,57700,69100,18430,116300,231500,3132,21600,9470,76600,23300,66800,20650,14610,8980,24850,18800,113600,52600,3280,40750,18090,49200,4255,6120,33500,33900,9610,11430,1890,79400,110300,25550,8100,12160,126300,15690,186000,38425,55100,61800,36850,134600,34550,3145,114000,30250,121600,111900,76800,72000,1040,10680,3235,50500,79800,5505,41700,317500,214500,62800,48100,0,22800,2230,13261,48400,112000,51800,81400,58500,69500,58700,10970,151224,45843,32594,128600,57000,71900,32300,4460,21300,37750,78500,36850,287500,12500,35050,30900,24000,21050,32250,5050,10680,111100,46800,58900,170700,2490,11180,30100,114000,12270,1951,28839,8141,16829,8521,29840,48650,91800,7270,238500,13100,43150
4,115600,84100,292000,156400,14430,140150,87500,51900,178100,38400,359000,44450,40150,114400,25500,17300,11520,20600,0,78600,16970,245000,21150,19750,925000,5680,20350,3305,17350,63900,33500,123102,7910,23350,149100,396500,49400,21400,38750,29500,187400,144000,145300,5240,253500,87000,32250,55500,45750,13990,41700,120900,119500,16740,179900,10036,4251,14000,399500,22850,33750,38250,28000,120700,40000,27600,229000,23900,92000,67100,35160,690000,14070,52500,140500,61700,19020,42500,116500,90421,243000,792687,60400,17680,63000,115300,24850,47250,57300,69200,18610,117500,230000,3197,22000,9450,78400,23950,66000,21100,14740,8990,25050,19040,115700,53700,3305,41050,18100,49400,4350,6240,33650,34800,9460,11570,1899,82100,111700,25600,8330,12000,129600,15810,192600,39150,56000,62500,37700,136700,35350,3100,116800,30250,125900,110600,78800,76800,1041,10780,3260,51100,80000,5710,41500,320500,217500,62700,48500,0,25650,2250,14480,49250,110700,51500,83400,60300,70300,61100,11260,151994,46530,33037,128600,56200,74200,33000,4520,21950,38300,80500,37700,308500,12860,35600,32550,25500,21200,32900,5010,11160,112700,48000,60000,172200,2515,11230,31250,114100,12420,1990,29465,8257,17031,8636,30538,49800,93500,7200,240000,13080,44050
5,114900,82900,288000,155400,14670,140500,88600,55400,177600,38200,358000,44750,40350,116700,25750,17410,11570,20700,0,78900,16970,243500,21150,19900,905000,5750,20650,3290,17320,64300,33150,126107,7920,23750,152500,391500,49650,22150,40300,29600,186500,144200,145700,5270,254000,86900,33100,55200,45850,14030,41150,121400,119700,16840,183700,10175,4295,14250,399000,23550,33250,38550,28000,120900,40750,27700,230500,23600,92300,65400,35660,696000,14020,51900,136600,62000,18880,43050,115200,93993,249000,792687,61000,17750,62700,116200,24850,47350,57200,66600,18650,117700,228000,3262,22450,9410,78000,24300,66400,21000,14430,9180,25250,18700,116100,54400,3295,41100,18090,49150,4300,6270,33750,35600,9450,11480,1912,82200,111800,25700,8350,11910,129200,15880,190400,39250,56500,62300,37700,141200,36150,3110,119500,29900,126400,110700,79400,83100,1039,10910,3260,49000,80200,5300,41450,318000,218000,62700,48550,0,25600,2370,14876,49250,106800,52200,85500,59700,69700,64600,11080,152283,47167,32977,129300,56200,76100,33300,4567,21800,38850,84100,38200,299500,12820,35850,35100,25950,21500,33700,5000,11200,112300,49200,59800,165400,2530,11320,32950,114300,12400,1996,29820,8277,17304,8655,30844,51100,94000,7300,240000,13050,43800
6,114900,82500,294000,160200,14680,141700,87500,53900,182100,39350,360000,46300,40900,119500,25850,17400,11730,20750,0,79250,16900,246500,21600,19790,924000,5880,20650,3330,17210,64900,33050,123005,7950,23900,151400,392000,50700,21900,40200,30850,188600,146300,147600,5290,257250,87100,33300,55600,46250,14160,40050,123300,120900,17110,184000,10195,4339,14310,399500,22850,33450,38650,28200,121700,40900,27800,255000,28200,92700,68100,36720,712000,14270,52100,140300,62900,18590,43050,117600,97001,247000,797611,61000,17670,62500,119500,24950,47600,57600,67300,19680,122900,230000,3309,22750,9460,78100,24750,66800,20850,14890,9470,26150,18710,116500,54500,3300,41100,18070,49600,4460,6280,33900,35750,9480,11400,1935,82600,112100,27450,8460,11720,130900,15910,192200,37150,57800,62200,36950,146000,36350,3100,114900,29050,126500,111600,81900,80500,1112,11000,3340,48400,81000,5500,41600,317500,222500,63600,49200,36050,25700,2380,15631,49750,109500,52400,86800,60000,70800,64900,11240,152476,47559,33383,128100,57500,77100,35050,4655,22650,39150,84900,38300,306000,13090,35950,36000,26600,20900,34750,5050,11270,112100,49900,61000,172800,2565,11350,34350,116600,12500,1997,30131,8350,17312,8771,31167,52300,94500,7690,242500,13190,43300
7,112500,82500,300500,166000,14780,138200,87700,54300,179700,39450,359000,48350,39000,122300,26100,17400,11650,20700,0,80000,16960,247500,21700,19520,936000,5910,20700,3345,17230,64700,32200,125428,7940,24250,153000,389500,52600,22250,40250,29300,187000,146800,147700,5330,260000,86500,32900,55500,46250,14130,39200,124500,121100,17280,183500,10245,4417,14380,397500,20900,32900,39550,27550,121000,41450,27050,261500,29750,92500,66200,37400,715000,14800,52000,140400,61600,18610,42800,117700,95967,248500,794656,61100,17860,62000,116400,25200,47950,52900,71000,19500,123400,228500,3327,23250,9460,79000,25000,66700,20850,14870,9400,25800,18860,117400,54400,3315,41000,18060,51000,4295,6310,33700,35050,9500,11600,1967,82600,111500,27650,8460,11980,130800,15940,192700,37950,58200,62600,37500,146000,34900,3110,116500,27600,127600,116000,88300,74300,1139,11100,3385,48700,80900,5435,42150,317000,221000,65200,49200,36050,24800,2390,15315,48850,108900,52900,86000,60100,70900,67000,10980,151320,46824,33462,128400,57700,76500,37200,4630,24500,39000,83500,37900,305000,13030,35800,33300,27500,23150,33650,5060,11010,111800,51300,61500,172200,2560,11370,33450,117700,12430,1953,29520,8340,17326,8717,30577,50200,95300,7980,235000,12840,43000
8,113400,82200,303500,169500,14960,139400,89500,56000,179100,40700,362500,45900,38500,122900,26200,17540,11780,20700,0,81500,17330,245500,21850,19770,949000,5880,20750,3355,17280,65400,31400,124362,7930,24400,153900,394000,52300,22400,39750,29400,189700,148500,147900,5390,261000,87200,32700,55600,46350,14340,40200,127000,121200,17680,182000,10375,4456,14460,398500,20600,32900,43550,27650,120500,41900,27300,262000,28800,92500,65500,38180,773000,14640,51000,138200,61600,18200,43050,117500,94933,253000,782841,60500,18340,63000,115800,25050,48750,52600,71200,19160,126700,235500,3299,23050,9410,80900,24700,66600,21050,14940,9420,25900,18830,117600,55000,3305,41150,18190,51300,4150,6340,33950,34800,10020,11840,1959,82800,112600,28050,8470,12160,127000,16050,193700,38100,59400,66000,38250,145700,35050,3115,116900,27600,129200,119500,78000,75200,1178,11010,3430,48500,81100,5455,43150,325500,221500,65500,49300,35750,24800,2315,15542,49400,107000,54000,85600,60000,71100,66600,11000,153149,47020,33501,129800,59300,78600,36150,4790,23500,39250,82700,38000,310000,12950,35850,32450,25650,24800,33950,5050,10980,112600,50000,61800,173500,2580,11360,33675,120800,12360,1951,29550,8383,17463,8806,30577,50200,95000,7180,236500,13400,43450
