,US_Mfg_Employment,US_Ind_Production,US_Durable_Goods,US_Retail_Sales
2020-01-31,12745.0,101.0338,233656.0,447774.0
2020-02-29,12743.0,101.3735,240355.0,447972.0
2020-03-31,12684.0,97.4078,204710.0,420954.0
2020-04-30,11382.0,84.5619,165166.0,370296.0
2020-05-31,11610.0,85.9604,184417.0,437957.0
2020-06-30,11950.0,91.5934,202777.0,465800.0
2020-07-31,11973.0,95.0256,223750.0,471873.0
2020-08-31,11999.0,95.9549,226872.0,473696.0
2020-09-30,12057.0,95.9669,230481.0,482702.0
2020-10-31,12086.0,96.7394,236338.0,480763.0
2020-11-30,12118.0,97.0816,237115.0,478079.0
2020-12-31,12153.0,98.363,241814.0,485949.0
2021-01-31,12142.0,98.8822,249937.0,501604.0
2021-02-28,12172.0,95.6149,251426.0,488805.0
2021-03-31,12229.0,98.3856,253805.0,539607.0
2021-04-30,12193.0,98.5587,252613.0,542199.0
2021-05-31,12216.0,99.4333,253009.0,536589.0
2021-06-30,12247.0,99.7987,258284.0,540152.0
2021-07-31,12305.0,100.2519,259416.0,528600.0
2021-08-31,12353.0,100.0437,264287.0,532477.0
2021-09-30,12393.0,98.8579,259192.0,536651.0
2021-10-31,12453.0,100.1861,263534.0,545361.0
2021-11-30,12498.0,100.8654,268650.0,551082.0
2021-12-31,12537.0,100.5726,277487.0,547277.0
2022-01-31,12564.0,100.1856,280925.0,560257.0
2022-02-28,12601.0,100.8064,277036.0,563777.0
2022-03-31,12674.0,101.3907,277554.0,574485.0
2022-04-30,12726.0,101.44,279157.0,580943.0
2022-05-31,12735.0,101.3335,278740.0,579844.0
2022-06-30,12767.0,101.018,284763.0,585556.0
2022-07-31,12800.0,101.223,284460.0,579267.0
2022-08-31,12832.0,101.0963,282368.0,581196.0
2022-09-30,12849.0,101.2918,282430.0,579446.0
2022-10-31,12883.0,101.2529,287071.0,585006.0
2022-11-30,12896.0,100.9552,279095.0,576356.0
2022-12-31,12895.0,99.7664,293358.0,569119.0
2023-01-31,12903.0,100.505,288874.0,591964.0
2023-02-28,12898.0,100.6416,280693.0,586165.0
2023-03-31,12888.0,101.0205,289270.0,578812.0
2023-04-30,12884.0,101.253,290168.0,583874.0
2023-05-31,12869.0,100.9286,289707.0,586286.0
2023-06-30,12875.0,100.1196,303971.0,588670.0
2023-07-31,12862.0,100.9067,293278.0,589257.0
2023-08-31,12861.0,100.8393,289128.0,595191.0
2023-09-30,12872.0,101.0211,298229.0,598956.0
2023-10-31,12837.0,100.4689,285976.0,595517.0
2023-11-30,12859.0,100.8639,298570.0,593567.0
2023-12-31,12872.0,100.6031,304324.0,594256.0
2024-01-31,12875.0,99.2223,280614.0,588944.0
2024-02-29,12852.0,100.285,282623.0,593206.0
2024-03-31,12836.0,100.4575,287423.0,595969.0
2024-04-30,12833.0,100.2434,286972.0,595676.0
2024-05-31,12825.0,100.863,286829.0,600372.0
2024-06-30,12814.0,100.894,281128.0,599979.0
2024-07-31,12806.0,99.9757,293234.0,605814.0
2024-08-31,12772.0,100.4309,289926.0,603601.0
2024-09-30,12758.0,99.8084,292469.0,608774.0
2024-10-31,12697.0,99.4695,293266.0,612772.0
2024-11-30,12711.0,99.2925,288340.0,616344.0
2024-12-31,12693.0,100.3273,290559.0,621713.0
2025-01-31,12673.0,100.0647,291195.0,615145.0
2025-02-28,12671.0,101.0993,293985.0,616636.0
2025-03-31,12666.0,101.0404,316215.0,625420.0
2025-04-30,12662.0,101.1279,295229.0,624272.0
2025-05-31,12651.0,100.9655,344069.0,616540.0
2025-06-30,12636.0,101.4785,311761.0,621374.0
2025-07-31,12625.0,101.894,303032.0,628747.0
2025-08-31,12615.0,101.6247,312138.0,632149.0
2025-09-30,12612.0,101.668,314147.0,632395.0
2025-10-31,12603.0,101.2195,307570.0,631346.0
2025-11-30,12593.0,101.0344,324305.0,634477.0
2025-12-31,12580.0,101.4941,321342.0,634830.0
2026-01-31,12582.0,101.0388,319975.0,634949.0
2026-02-28,12583.0,101.9263,316233.0,641038.0
2026-03-31,12598.0,101.6172,320485.0,653772.0
2026-04-30,12597.0,102.4196,347767.0,657830.0
2026-05-31,12595.0,102.5606,333706.0,664439.0
2026-06-30,12598.0,102.6395,334772.0,666056.0
