Date,VIX,Fear_Greed_Score
2026-05-24,16.7,58.6
2026-05-26,16.59,58.6
2026-05-27,17.01,60.7
2026-05-28,16.29,60.7
2026-05-29,15.74,60.2
2026-06-01,15.32,60.2
2026-06-02,16.05,59.0
2026-06-04,16.06,54.0
2026-06-05,15.4,54.7
2026-06-07,21.51,42.1
2026-06-08,21.51,42.1
2026-06-09,18.92,39.4
2026-06-10,18.92,33.7
2026-06-11,19.87,27.6
2026-06-12,19.44,37.5
2026-06-13,17.68,34.0
2026-06-15,17.68,34.0
2026-06-16,17.68,41.3
2026-06-17,16.41,39.5
2026-06-18,18.44,32.0
2026-06-19,16.91,37.3
2026-06-20,16.78,37.3
2026-06-21,16.4,37.3
2026-06-22,16.4,37.3
2026-06-23,17.28,34.3
2026-06-24,19.49,27.5
2026-06-25,18.63,25.9
2026-06-26,18.89,25.5
2026-06-27,18.41,24.8
2026-06-28,18.41,24.8
2026-06-29,18.41,24.8
2026-06-30,17.69,27.2
2026-07-01,16.45,31.3
2026-07-02,16.59,32.1
2026-07-03,16.63,31.8
2026-07-04,15.81,31.9
2026-07-05,16.15,31.9
2026-07-06,16.15,31.9
2026-07-07,15.87,44.5
2026-07-08,16.13,43.5
2026-07-09,16.9,41.7
2026-07-10,15.84,47.2
2026-07-11,15.03,49.5
2026-07-12,15.03,49.5
2026-07-13,15.03,49.5
2026-07-14,17.16,43.7
2026-07-15,16.5,43.1
2026-07-16,15.67,46.5
2026-07-19,18.77,37.1
