티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금,기준일,데이터소스,비고
000020,동화약품,1361654,1168912,-192742,8600229685,7387449620,-1212780065,,,
000040,KR모터스,2970798,3019179,48381,1242824857,1265774561,22949704,,,
000050,경방,18735710,18980187,244477,222637074630,226487374775,3850300145,,,
000060,메리츠화재,27328249,30710278,3382029,387087196640,431280643280,44193446640,,,
000070,삼양홀딩스,256046,256027,-19,16847991700,16914874000,66882300,,,
000075,삼양홀딩스우,969583,995201,25618,48609805250,49607480300,997675050,,,
000080,하이트진로,1920472,1759818,-160654,34376244260,31389683785,-2986560475,,,
000087,하이트진로2우B,46728,48731,2003,666811715,695556370,28744655,,,
000100,유한양행,2537856,1811293,-726563,277538471450,196697533150,-80840938300,,,
000105,유한양행우,34943,29251,-5692,3301020550,2748275450,-552745100,,,
000120,CJ대한통운,1407587,963847,-443740,182492063650,127231486600,-55260577050,,,
000140,하이트진로홀딩스,358456,274408,-84048,3454460935,2634601720,-819859215,,,
000145,하이트진로홀딩스우,6414,6527,113,77097190,78462830,1365640,,,
000150,두산,875794,591480,-284314,824126777000,544669440500,-279457336500,,,
000155,두산우,242252,168814,-73438,122378878500,83924610250,-38454268250,,,
000157,두산2우B,22858,15416,-7442,10452684500,6994457750,-3458226750,,,
000180,성창기업지주,4254070,4268186,14116,7011221837,7101912526,90690689,,,
000210,DL,1386683,1228831,-157852,64815123700,56626188025,-8188935675,,,
000215,DL우,124365,109031,-15334,3122063275,2733699300,-388363975,,,
000220,유유제약,1319370,1235056,-84314,5938182395,5558862910,-379319485,,,
000225,유유제약1우,202702,206550,3848,957907622,972011347,14103725,,,
000227,유유제약2우B,7850,4792,-3058,83410090,50856740,-32553350,,,
000230,일동홀딩스,410305,385508,-24797,4823173325,4546443100,-276730225,,,
000240,한국앤컴퍼니,941528,736715,-204813,29263612075,22490299350,-6773312725,,,
000270,기아,5070250,3255540,-1814710,818594420100,518347791950,-300246628150,,,
000300,대유플러스,440798345,448280108,7481763,389859550325,395957852882,6098302557,,,
000320,노루홀딩스,707204,930140,222936,17505453275,23134498575,5629045300,,,
000325,노루홀딩스우,18608,18608,0,608355900,608355900,0,,,
000370,한화손해보험,47340213,47388117,47904,392821325020,396258855735,3437530715,,,
000390,삼화페인트,49385569,50230302,844733,507600234975,516004440380,8404205405,,,
000400,롯데손해보험,59213610,59820265,606655,158272143825,159952344242,1680200417,,,
000430,대원강업,1276357,1086761,-189596,5331995653,4518962417,-813033236,,,
000480,CR홀딩스,355481,324747,-30734,1740132869,1584581831,-155551038,,,
000490,대동,27979213,29053212,1073999,336139100740,349685460790,13546360050,,,
000500,가온전선,612572,480248,-132324,55809428400,43383815800,-12425612600,,,
000520,삼일제약,8303603,7966277,-337326,94395909410,90323446610,-4072462800,,,
000540,흥국화재,24638306,24753848,115542,155264064712,155690324486,426259774,,,
000545,흥국화재우,569586,573509,3923,4961579770,4991804740,30224970,,,
000547,흥국화재2우B,6059177,6059181,4,165860381250,165938253750,77872500,,,
000590,CS홀딩스,16339,16880,541,1379321300,1426032800,46711500,,,
000640,동아쏘시오홀딩스,111363,74972,-36391,12381797650,8270498550,-4111299100,,,
000650,천일고속,760964,763887,2923,245202476000,246435507500,1233031500,,,
000670,영풍,245947,245278,-669,14686233850,14601692850,-84541000,,,
000680,LS네트웍스,3283800,3112753,-171047,11621308346,10984176486,-637131860,,,
000700,유수홀딩스,653781,566246,-87535,4130196150,3604760650,-525435500,,,
000720,현대건설,10235012,8934383,-1300629,1202304352050,1043767000600,-158537351450,,,
000725,현대건설우,157680,134171,-23509,10569348400,9003456300,-1565892100,,,
000760,이화산업,159982,150036,-9946,2685058035,2537572305,-147485730,,,
000810,삼성화재,238706,276530,37824,130592427500,154042406750,23449979250,,,
000815,삼성화재우,156028,126401,-29627,63268829250,51594565000,-11674264250,,,
000850,화천기공,130546,116221,-14325,5434392300,4855226150,-579166150,,,
000860,강남제비스코,595550,623045,27495,10476346635,10987939230,511592595,,,
000880,한화,3404455,3052611,-351844,411890092800,366071510900,-45818581900,,,
000885,한화우,25339341,25332245,-7096,1362247849900,1362852866800,605016900,,,
00088K,한화3우B,484512,558415,73903,23296124525,26534673000,3238548475,,,
000890,보해양조,45200422,43557462,-1642960,21474583306,20723722396,-750860910,,,
000910,유니온,1346653,1222996,-123657,5996214212,5441403376,-554810836,,,
000950,전방,56385,50484,-5901,2314304550,2078266275,-236038275,,,
000970,한국주철관,447597,435561,-12036,3091770410,3003842380,-87928030,,,
000990,DB하이텍,2189543,2374989,185446,217786602150,234426430500,16639828350,,,
