ticker,name,sector,type,score
005930,삼성전자,반도체,equity,1.0
000660,SK하이닉스,반도체,equity,0.5483
005380,현대차,자동차,equity,0.075
034020,두산에너빌리티,etc,equity,0.0705
402340,SK스퀘어,etc,equity,0.0633
000270,기아,자동차,equity,0.0477
028260,삼성물산,유통/소비재,equity,0.0333
105560,KB금융,금융,equity,0.0332
055550,신한지주,금융,equity,0.0318
035420,NAVER,IT/소프트웨어,equity,0.0279
006400,삼성SDI,2차전지,equity,0.025
068270,셀트리온,바이오/헬스,equity,0.0222
042660,한화오션,소재/화학,equity,0.0255
069500,KODEX 200,인덱스,etf,0.5
148070,KOSEF 국고채10년,채권,bond_etf,0.5
305720,KODEX 2차전지산업,2차전지ETF,etf,0.5
