Price,Close,High,Low,Open,Volume
Ticker,MCD,MCD,MCD,MCD,MCD
Date,,,,,
2024-05-16,260.97894287109375,262.9350089308555,260.4159776593545,261.93312711866383,2339900
2024-05-17,259.9006652832031,261.5036875545857,258.507564674934,261.5036875545857,2454500
2024-05-20,255.59735107421875,259.6621856263966,255.03438581548434,259.29003976147,2651100
2024-05-21,253.68894958496094,256.75187272548504,253.2786573660135,256.2080098600996,2362600
2024-05-22,253.5935516357422,254.59546262517466,252.42944562171766,253.68897588988727,1906100
2024-05-23,246.11270141601562,253.45037957866833,245.79783347107914,252.9828386812393,5636200
2024-05-24,246.28448486328125,248.52682369353454,245.7215196453696,246.88562560494412,3382900
2024-05-28,241.92384338378906,246.95239793929818,241.07462007127603,245.59747275092127,4324700
2024-05-29,237.9449005126953,242.17194393372287,237.74452999152015,241.75210057166743,4029300
2024-05-30,240.52120971679688,241.37043304216505,238.64146574496593,239.1280944281449,3597800
2024-05-31,247.0287628173828,247.37225515388573,241.89523257552628,242.54408540598797,6125400
2024-06-03,249.45849609375,249.65058365627706,245.47292829311388,247.7105989234739,4342800
2024-06-04,252.3108367919922,252.66617242381608,248.97831963457432,249.06475024973835,4592700
2024-06-05,249.68898010253906,251.3696437111093,248.41168865574255,251.13916208063713,4136800
2024-06-06,250.39007568359375,251.41768850055726,248.6709886440925,250.57255008318347,3354300
2024-06-07,246.05873107910156,251.04310115685385,245.22320591724343,249.76580979727274,2290100
2024-06-10,243.7538299560547,245.85706264129456,243.1199761994191,245.85706264129456,2866200
2024-06-11,244.2052001953125,244.59895914948467,242.1115807585925,242.98551461605305,2729400
2024-06-12,244.3972930908203,246.15478877366314,243.3696949738365,244.78145356080492,3169600
2024-06-13,243.648193359375,244.64699590607043,241.22803373923801,243.54255106413268,3153000
2024-06-14,243.53294372558594,243.5713524432721,240.68061651159567,242.8414695734536,2806600
2024-06-17,243.46571350097656,244.4357058230119,241.9003054483905,242.30366293364582,2532900
2024-06-18,240.85350036621094,244.27246273061817,239.47056658615327,243.88830224652654,2956300
2024-06-20,243.7442626953125,245.55937893717677,239.62422740309333,240.35412503010684,4046500
2024-06-21,249.11277770996094,251.1007404031137,245.4825308090288,248.0467415449276,8425800
2024-06-24,250.0635528564453,251.01431893163766,247.58575798810648,248.73822480711738,3901200
2024-06-25,247.18238830566406,249.8234309466807,245.46330143478303,249.8234309466807,3903800
2024-06-26,247.6145477294922,247.94110243770174,244.58935921516078,246.4813073464703,2796100
2024-06-27,247.94110107421875,248.57492552951436,246.7886343567891,247.77782372101188,2651000
2024-06-28,244.7430419921875,249.20879959627158,242.84149520026662,247.33607766343553,8958700
2024-07-01,240.085205078125,245.2232250825183,239.82589858705998,244.7334369587056,3817600
2024-07-02,237.97235107421875,241.0839848996061,237.6074169499087,239.78746714213887,3944900
2024-07-03,240.09478759765625,241.03595506185667,238.34689050991835,238.65421887207032,2026100
2024-07-05,241.14158630371094,241.4585131673227,238.95192311350442,241.05515570115017,2814300
2024-07-08,238.02999877929688,242.57258844855826,237.27129097880223,241.7850704434093,3163900
2024-07-09,236.08041381835938,237.59780000619702,233.88113732000792,237.43453730634673,4927300
2024-07-10,240.5653839111328,240.6326028329324,236.15723237735062,237.21365532754314,4092700
2024-07-11,244.70460510253906,245.52091856999743,239.9699283743902,241.26644606077227,5546400
2024-07-12,243.8402557373047,246.7406194731616,241.8330668685682,244.17639429517195,4543000
2024-07-15,241.56417846679688,245.59776816698766,241.23765305653623,243.59057916046223,3393600
