날짜,시가,고가,저가,종가,거래량,Open,High,Low,Close,Volume
2026-02-27,26950.0,28100.0,26600.0,26950.0,130278.0,,,,,
2026-03-03,25850.0,26900.0,25700.0,25900.0,157120.0,,,,,
2026-03-04,25000.0,25100.0,21700.0,22050.0,235893.0,,,,,
2026-03-05,23000.0,23750.0,22850.0,23150.0,155334.0,,,,,
2026-03-06,23200.0,23950.0,22800.0,23600.0,104110.0,,,,,
2026-03-09,22200.0,22650.0,21750.0,22100.0,138105.0,,,,,
2026-03-10,22900.0,23350.0,22600.0,23050.0,85631.0,,,,,
2026-03-11,23750.0,25900.0,23750.0,24700.0,208381.0,,,,,
2026-03-12,24300.0,24650.0,23750.0,24150.0,158762.0,,,,,
2026-03-13,23400.0,24400.0,23100.0,23800.0,107252.0,,,,,
2026-03-16,23800.0,24075.0,23050.0,23200.0,70619.0,,,,,
2026-03-17,23600.0,24450.0,23550.0,24150.0,75027.0,,,,,
2026-03-18,24550.0,24675.0,23900.0,24200.0,87996.0,,,,,
2026-03-19,23750.0,23800.0,23450.0,23650.0,57176.0,,,,,
2026-03-20,23700.0,25000.0,23700.0,24600.0,93383.0,,,,,
2026-03-23,23850.0,24000.0,22750.0,23050.0,108279.0,,,,,
2026-03-24,23800.0,23850.0,23050.0,23600.0,64678.0,,,,,
2026-03-25,24000.0,24500.0,23950.0,24300.0,63811.0,,,,,
2026-03-26,24500.0,25500.0,24200.0,24450.0,100400.0,,,,,
2026-03-27,23950.0,24950.0,23600.0,24850.0,78202.0,,,,,
2026-03-30,23700.0,24250.0,23400.0,24150.0,68120.0,,,,,
2026-03-31,23850.0,24250.0,23050.0,23300.0,90185.0,,,,,
2026-04-01,24250.0,24950.0,23900.0,24800.0,88226.0,,,,,
2026-04-02,24700.0,24950.0,22550.0,22800.0,193397.0,,,,,
2026-04-03,23100.0,23350.0,22600.0,22650.0,72781.0,,,,,
2026-04-06,22700.0,23000.0,22300.0,22600.0,49286.0,,,,,
2026-04-07,22650.0,22750.0,21850.0,21950.0,82082.0,,,,,
2026-04-08,,,,,,22900.0,23250.0,22500.0,22650.0,107348.0
2026-04-09,,,,,,22650.0,22800.0,22100.0,22200.0,75837.0
2026-04-10,,,,,,22400.0,22800.0,22200.0,22400.0,67369.0
2026-04-13,,,,,,21800.0,22350.0,21700.0,22150.0,65649.0
2026-04-14,,,,,,22450.0,22700.0,22200.0,22300.0,69646.0
2026-04-15,,,,,,22300.0,22300.0,22300.0,22300.0,0.0
