날짜,시가,고가,저가,종가,거래량
2016-05-02,22670.74866439238,22760.003580393924,21599.689672373843,21666.630859375,80150.0
2016-05-03,21755.884021135338,23831.060650843632,21242.668295508556,23474.041015625,277436.0
2016-05-04,23474.038468228202,24768.23450544991,23072.39142219388,24054.1953125,198834.0
2016-05-09,24411.217490251536,25883.92348143673,24054.197856024824,25393.021484375,171822.0
2016-05-10,25348.391216216216,25883.92060810811,24277.33243243243,24768.234375,100610.0
2016-05-11,24902.11780389908,25348.39231651376,24188.078583715596,24321.9609375,126986.0
2016-05-12,24188.078583715596,24678.980547591742,24098.823681192658,24321.9609375,48446.0
2016-05-13,24143.455078125,24500.474746563075,23741.807951132163,24143.455078125,52596.0
2016-05-16,24009.57270246072,24678.984580782115,23964.94524390596,24143.455078125,37782.0
2016-05-17,23964.94524390596,24366.592370898798,23831.062868241683,24143.455078125,58740.0
2016-05-18,24098.82641042462,24321.963692002624,23295.532196743796,23384.787109375,57580.0
2016-05-19,23384.78431372549,23429.411764705885,22536.86274509804,22760.0,51330.0
2016-05-20,22536.86364462209,23206.27543604651,22536.86364462209,23027.765625,44286.0
2016-05-23,22893.88576020526,24678.98406509456,22893.88576020526,24188.08203125,97296.0
2016-05-24,24545.102205117837,24634.357122227357,23741.807951132163,24143.455078125,54278.0
2016-05-25,24455.8453648743,24455.8453648743,23741.806084148044,23964.943359375,26530.0
2016-05-26,24054.197817913155,24188.080180536046,23250.903642175796,23831.060546875,41456.0
2016-05-27,23741.804600694446,24455.843836805554,23384.78498263889,24098.82421875,54516.0
2016-05-30,24277.335141509433,24321.96259581368,23518.668418337264,23652.55078125,40542.0
2016-05-31,23875.686872718976,24455.84375,23295.529995437955,24455.84375,48642.0
2016-06-01,24411.214780405408,24902.116722972973,24143.45008445946,24768.234375,67932.0
2016-06-02,24946.74393100511,26508.704642248722,24545.09689097104,26196.3125,159166.0
2016-06-03,25973.17956832627,26508.709043961862,25303.76772378178,26330.19921875,94948.0
