날짜,시가,고가,저가,종가,거래량
2016-05-23,80991.0,81764.0,80218.0,81283.0,4939.0
2016-05-24,82054.0,82054.0,80701.0,81766.0,6638.0
2016-05-25,82054.0,83503.0,81280.0,82539.0,17368.0
2016-05-26,82537.0,83407.0,81087.0,82443.0,10187.0
2016-05-27,82633.0,83503.0,81668.0,83311.0,10761.0
2016-05-30,83503.0,84084.0,82827.0,82829.0,8358.0
2016-05-31,83601.0,84084.0,81764.0,83119.0,19209.0
2016-06-01,83407.0,84277.0,82827.0,82829.0,13137.0
2016-06-02,82923.0,83986.0,81860.0,82056.0,10348.0
2016-06-03,81764.0,84277.0,81764.0,84085.0,9138.0
2016-06-07,84566.0,86983.0,83407.0,86502.0,23475.0
2016-06-08,86597.0,87467.0,85146.0,86791.0,13712.0
2016-06-09,86983.0,87175.0,84565.0,84956.0,15782.0
2016-06-10,85533.0,87755.0,84566.0,86985.0,18010.0
2016-06-13,86983.0,86983.0,84953.0,86018.0,17502.0
2016-06-14,86017.0,86790.0,83987.0,86018.0,13035.0
2016-06-15,85920.0,85920.0,83986.0,85245.0,21117.0
2016-06-16,85243.0,85243.0,82827.0,83893.0,15166.0
2016-06-17,83889.0,84953.0,81668.0,82346.0,22639.0
2016-06-20,82923.0,84469.0,82344.0,83505.0,14684.0
2016-06-21,83503.0,83503.0,81956.0,82829.0,10680.0
2016-06-22,82247.0,84083.0,81860.0,83505.0,14565.0
2016-06-23,83503.0,84084.0,81473.0,82248.0,9939.0
2016-06-24,82537.0,82827.0,76836.0,80992.0,20946.0
2016-06-27,77318.0,80603.0,77318.0,80510.0,18456.0
2016-06-28,80410.0,82151.0,79347.0,81862.0,14536.0
2016-06-29,81764.0,83214.0,81473.0,82539.0,13779.0
2016-06-30,83117.0,83987.0,81473.0,83409.0,18475.0
2016-07-01,82731.0,84181.0,82151.0,83795.0,9268.0
2016-07-04,83600.0,84277.0,82633.0,83505.0,8264.0
2016-07-05,83987.0,84277.0,82440.0,83699.0,6775.0
2016-07-06,82633.0,83601.0,81280.0,82539.0,10269.0
2016-07-07,82537.0,82923.0,81764.0,82346.0,6242.0
2016-07-08,81860.0,82731.0,80121.0,80122.0,8827.0
2016-07-11,80798.0,81860.0,79734.0,81283.0,9337.0
2016-07-12,81280.0,82054.0,80603.0,81476.0,7547.0
2016-07-13,81473.0,83019.0,80314.0,80413.0,16351.0
2016-07-14,80024.0,81184.0,78961.0,80219.0,13614.0
2016-07-15,78382.0,80121.0,78382.0,78674.0,21987.0
2016-07-18,78768.0,80218.0,78478.0,79445.0,15884.0
2016-07-19,80024.0,80314.0,78382.0,80026.0,10134.0
2016-07-20,80024.0,80603.0,78670.0,79445.0,8911.0
2016-07-21,79445.0,80121.0,78768.0,79833.0,10094.0
2016-07-22,79830.0,80410.0,78574.0,78674.0,17051.0
2016-07-25,78670.0,79734.0,78670.0,79059.0,5963.0
2016-07-26,79058.0,81377.0,78382.0,81283.0,12429.0
2016-07-27,81280.0,82923.0,81280.0,82829.0,15841.0
2016-07-28,82923.0,83117.0,81087.0,82829.0,10036.0
2016-07-29,82247.0,83503.0,81184.0,82248.0,9098.0
2016-08-01,82634.0,83503.0,81473.0,82926.0,11384.0
2016-08-02,82923.0,83019.0,81377.0,81668.0,11855.0
2016-08-03,81377.0,82537.0,80314.0,80316.0,7520.0
2016-08-04,81377.0,81668.0,80314.0,81668.0,2930.0
2016-08-05,81860.0,82537.0,80410.0,81186.0,7289.0
2016-08-08,81280.0,83019.0,81280.0,82539.0,7913.0
2016-08-09,82634.0,83019.0,81377.0,82443.0,7824.0
2016-08-10,81668.0,84760.0,81668.0,84569.0,24937.0
2016-08-11,84664.0,86306.0,83697.0,85825.0,13769.0
2016-08-12,86500.0,86597.0,84469.0,84761.0,10316.0
2016-08-16,87370.0,92782.0,87273.0,90368.0,83263.0
2016-08-17,90365.0,95391.0,90076.0,92881.0,39097.0
2016-08-18,93362.0,94812.0,92782.0,94813.0,22036.0
2016-08-19,95584.0,95584.0,90752.0,92108.0,27635.0
2016-08-22,92105.0,94038.0,91816.0,94040.0,22722.0
2016-08-23,93554.0,94812.0,91139.0,94717.0,26149.0
2016-08-24,94715.0,97131.0,93845.0,95683.0,29318.0
2016-08-25,96164.0,97131.0,95199.0,96167.0,21083.0
2016-08-26,96359.0,96551.0,94135.0,96167.0,21611.0
2016-08-29,94038.0,97131.0,94038.0,96263.0,14256.0
2016-08-30,96648.0,98581.0,94716.0,95491.0,32441.0
2016-08-31,95584.0,97131.0,95295.0,97133.0,23207.0
